True	csv	dbase3	docx	dwf	eps	f	fits	gif	gz	hlp	html	jpg	kml	log	pdf	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls
csv	62	0	0	0	0	3	0	0	0	1	4	0	0	3	0	0	0	0	3	0	7	0	6	0	4	4	2	0	0	0
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
docx	0	0	79	0	0	0	0	0	6	0	0	0	0	0	0	1	1	10	0	0	0	1	0	0	0	0	0	0	1	0
dwf	0	0	0	79	0	0	0	0	6	0	0	0	0	0	1	2	0	6	0	0	0	7	0	0	0	0	0	0	0	0
eps	0	0	0	0	56	0	1	0	0	1	0	0	0	4	1	0	0	0	24	3	1	0	0	2	0	0	7	1	0	0
f	6	0	0	0	0	23	5	0	0	2	0	0	3	6	0	0	0	0	4	0	5	0	1	2	0	10	20	14	1	0
fits	0	0	0	2	0	0	73	2	1	0	0	0	0	0	3	0	0	2	1	0	0	6	0	4	0	0	1	1	0	4
gif	0	0	0	6	0	0	6	73	0	0	0	1	0	0	4	1	2	3	0	0	0	5	0	0	0	0	0	0	0	0
gz	0	0	0	3	0	0	1	1	56	0	0	0	0	0	8	1	0	23	0	0	0	4	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	6	0	0	0	72	0	0	0	2	0	0	0	0	1	0	3	0	0	4	0	1	12	0	0	0
html	1	0	0	0	2	1	2	1	0	0	59	0	2	9	1	0	0	0	3	4	2	0	5	2	0	3	1	1	0	0
jpg	0	0	0	2	0	0	0	0	1	0	1	62	0	0	0	3	2	11	0	0	0	8	0	0	0	0	0	6	4	0
kml	0	0	0	0	2	0	0	0	0	0	6	0	86	1	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0
log	3	0	0	0	3	0	1	0	0	0	2	0	1	64	3	0	0	0	8	4	2	0	2	0	4	1	2	0	1	0
pdf	0	0	0	4	1	0	2	0	7	0	0	1	0	0	55	0	0	14	7	0	0	12	0	0	2	0	0	0	0	0
pps	1	0	0	3	0	0	2	3	18	0	0	3	0	0	0	6	3	30	0	1	0	14	0	2	0	0	0	0	2	12
ppt	0	0	0	2	0	0	1	2	9	0	0	1	0	0	3	16	9	25	0	0	0	8	0	0	0	2	0	0	1	22
pptx	0	0	5	7	0	0	1	5	19	0	0	5	1	0	3	1	1	36	0	1	0	16	0	0	0	0	0	0	0	0
ps	1	0	0	0	17	0	1	0	0	0	1	0	1	5	3	0	0	0	58	2	1	0	0	0	3	0	5	0	0	0
rtf	2	0	0	0	4	1	0	0	0	2	2	0	0	0	0	0	0	0	2	83	0	0	1	0	0	0	1	1	2	0
sql	3	0	0	0	0	13	0	0	0	7	2	0	1	5	0	0	0	0	2	0	44	0	1	4	2	4	4	1	2	0
swf	0	0	0	7	0	0	0	4	11	0	0	1	0	0	2	6	4	24	0	0	0	35	0	0	0	0	0	0	3	0
tex	0	0	0	0	2	2	0	0	0	0	2	0	1	9	0	0	0	0	0	3	1	0	73	3	0	0	4	0	0	0
text	0	0	0	0	1	3	7	0	4	1	1	0	0	0	1	6	0	4	0	0	2	4	1	19	1	8	8	4	2	19
tmp	0	0	4	0	3	4	1	0	0	0	6	0	1	13	3	0	0	4	2	1	8	0	0	3	38	1	5	0	0	0
troff	4	0	0	0	0	9	0	0	0	2	1	0	0	2	0	0	0	0	5	0	2	0	2	1	0	68	6	0	0	0
txt	6	0	0	0	0	15	11	0	0	1	0	0	0	3	1	0	0	0	0	0	8	0	4	7	3	10	32	2	1	0
unk	3	0	0	0	2	4	16	1	2	3	7	0	0	5	0	0	0	0	2	0	1	0	3	5	0	7	13	17	2	4
wp	0	0	2	7	0	3	1	1	0	0	0	2	0	1	1	5	0	1	0	1	0	5	0	0	0	0	1	3	65	0
xls	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	1	5	0	0	0	0	0	0	0	89
