True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	83	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	4	0	0	0	0	0	2	1	0	0	3	1	3	1	1	0	0	0	1
dbase3	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	8	1	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	5	0	0	1	0	0	0	3	0	0	0	1	2	70	0
docx	0	0	1	79	0	0	0	0	1	7	0	0	0	0	0	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	2	70	0	0	1	2	2	0	0	0	1	0	3	0	0	2	3	1	3	0	0	0	5	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	67	0	4	0	0	0	2	0	0	0	0	9	1	0	0	0	0	16	1	1	0	3	0	1	0	4	0	0	1	3
f	9	0	0	0	0	0	21	1	0	0	1	5	12	0	0	0	1	0	0	0	0	0	2	1	9	0	1	3	1	8	11	12	0	0	0
fits	0	0	1	0	1	0	4	77	2	0	0	0	0	1	0	0	0	0	0	2	3	2	0	0	0	3	0	0	0	0	1	4	0	0	0
gif	0	0	3	0	4	0	0	0	68	0	0	0	0	0	0	0	0	5	2	2	5	0	0	0	0	6	0	2	0	0	0	0	3	2	0
gz	0	0	0	1	3	0	0	0	0	50	0	0	0	0	0	3	0	2	2	4	10	13	0	0	0	6	0	0	0	0	0	0	0	0	0
hlp	1	0	0	0	0	0	12	0	0	0	54	4	3	0	0	0	1	0	0	0	0	0	1	0	6	0	1	0	3	0	5	5	1	0	0
html	1	0	0	0	0	1	1	0	0	0	0	80	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	3	0	1	2	0	0	7
java	2	0	0	0	0	0	5	0	0	0	3	4	52	0	1	0	7	0	0	0	0	0	0	0	8	0	0	0	4	0	4	1	0	0	4
jpg	0	0	0	0	3	1	0	0	0	0	0	0	0	59	0	0	0	2	2	1	13	8	0	0	0	2	0	0	0	0	0	0	0	0	0
kml	3	0	0	0	0	0	0	0	0	0	0	3	4	0	67	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	10
kmz	0	0	0	1	2	0	0	0	1	9	0	0	0	0	0	65	0	0	3	6	3	9	0	0	0	1	0	0	0	0	0	0	0	0	0
log	1	0	0	0	0	3	0	0	0	0	0	4	3	0	2	0	54	0	0	0	0	0	6	0	4	0	6	2	2	5	2	2	1	0	2
pdf	0	0	0	0	7	0	0	0	1	7	0	2	0	0	0	3	0	46	0	8	6	15	3	0	0	6	0	0	1	0	0	0	0	0	1
png	0	0	0	1	5	0	0	0	1	1	0	2	0	1	0	2	0	0	67	3	6	2	0	0	0	3	0	1	0	0	0	0	2	5	0
pps	0	0	1	1	1	0	0	0	3	8	0	0	0	3	0	1	0	0	2	9	27	19	0	0	0	12	0	2	0	0	0	0	2	12	0
ppt	0	0	3	2	3	0	0	0	4	6	0	0	0	1	0	0	0	1	3	6	23	15	0	0	0	12	0	2	0	0	0	0	1	16	0
pptx	0	0	1	15	3	0	0	0	3	7	0	0	0	1	0	0	0	1	6	12	16	26	0	0	0	9	0	0	0	0	0	0	1	2	0
ps	1	0	0	0	0	17	2	5	0	0	0	8	5	0	0	0	6	2	0	0	0	0	36	4	0	0	0	1	2	0	4	0	0	0	4
rtf	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	89	0	0	2	0	0	0	0	0	0	1	0
sql	6	0	0	0	0	0	8	1	0	0	2	9	5	0	0	0	7	0	0	0	0	0	2	0	42	0	6	8	2	1	13	3	0	0	0
swf	0	0	1	2	5	0	0	0	1	4	0	0	0	2	0	2	0	3	9	11	18	14	0	0	0	27	0	0	0	0	0	0	0	0	0
tex	1	0	0	0	0	0	2	0	0	0	0	5	2	0	3	0	5	0	0	0	0	0	0	2	4	0	65	0	1	0	5	0	0	0	2
text	0	0	6	1	1	1	13	6	6	2	0	2	0	0	0	0	3	0	0	0	2	1	2	1	9	1	1	10	4	3	10	2	2	18	0
tmp	1	0	2	0	0	4	2	0	0	0	0	4	0	3	0	0	7	3	0	0	0	0	5	0	2	0	0	0	62	0	6	0	0	0	1
troff	5	0	0	0	0	0	11	2	0	0	0	6	4	0	0	0	2	0	0	0	0	0	3	0	5	0	0	2	3	42	4	4	0	0	0
txt	8	0	0	0	0	0	10	12	0	0	0	4	5	0	0	0	3	0	0	0	0	0	0	3	3	0	0	6	4	5	35	6	0	0	0
unk	0	0	2	0	0	1	5	9	1	0	3	9	10	1	0	0	2	0	0	0	1	0	3	0	7	0	1	1	0	0	6	33	1	9	0
wp	1	0	0	0	7	0	1	1	1	0	0	0	0	4	0	1	0	0	3	0	4	0	0	2	0	0	0	1	0	2	1	0	68	2	0
xls	0	0	3	1	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	2	86	0
xml	3	0	0	0	0	0	1	0	0	0	0	13	2	0	8	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	63
