True	dbase3	doc	docx	gz	java	kmz	pps	pptx	ps	rtf	sql	tex	text	troff
dbase3	100	0	0	0	0	0	0	0	0	0	0	0	1	0
doc	0	77	5	0	3	0	5	2	0	0	1	0	1	2
docx	0	0	80	10	0	0	2	4	0	0	0	0	0	0
gz	0	0	0	73	0	10	11	8	0	0	0	0	0	0
java	0	0	0	0	86	0	0	0	2	2	3	3	0	3
kmz	0	4	0	12	0	80	2	4	0	0	0	0	0	0
pps	0	28	0	29	1	4	19	21	0	0	0	0	0	3
pptx	0	0	17	24	0	10	19	29	0	0	0	0	0	0
ps	0	0	0	0	7	0	0	0	65	6	0	5	8	5
rtf	0	0	0	0	2	0	0	0	3	92	0	1	0	0
sql	0	0	2	0	12	0	0	0	2	0	46	16	6	20
tex	0	0	0	0	7	0	0	0	2	2	6	75	5	3
text	0	20	2	3	0	0	7	5	3	0	13	3	32	16
troff	0	0	0	0	6	0	0	0	3	0	9	4	7	69
