True	doc	docx	dwf	f	fits	gz	html	java	jpg	pdf	ps	swf	text	unk	wp
doc	86	0	1	0	1	0	1	0	3	0	0	1	1	2	3
docx	0	85	0	0	0	8	0	0	0	0	0	2	0	0	0
dwf	1	0	83	0	0	7	0	0	3	0	0	9	1	0	1
f	3	0	0	37	2	0	3	2	0	1	6	0	9	30	4
fits	3	0	1	1	66	0	0	0	0	4	0	6	10	4	2
gz	0	0	0	0	0	81	0	0	0	1	0	18	0	0	0
html	0	0	0	5	0	0	78	2	0	13	7	0	0	4	0
java	0	0	0	16	0	0	4	63	0	2	4	0	0	7	2
jpg	0	0	3	0	0	9	1	0	73	1	0	11	0	2	5
pdf	0	0	1	0	0	16	2	0	1	46	10	17	0	2	0
ps	0	0	0	2	1	1	3	3	0	7	76	0	1	2	0
swf	1	0	3	0	0	24	0	0	1	4	0	65	0	0	3
text	16	1	0	5	5	6	6	0	4	1	1	6	37	8	5
unk	5	0	0	15	3	2	2	4	2	8	7	1	7	33	9
wp	2	0	12	2	1	0	0	0	1	0	0	7	0	5	74
