True	csv	dbase3	eps	f	gz	kml	pdf	png	pps	ppt	rtf	swf	tex	wp	xls	xml
csv	88	0	1	4	0	0	0	0	0	0	0	0	5	0	0	2
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	1	0	0
eps	1	0	89	3	0	1	3	0	0	0	0	0	0	0	1	0
f	18	0	8	54	0	1	1	2	0	0	1	0	5	11	0	1
gz	0	0	0	0	72	0	6	2	13	9	0	1	0	0	0	0
kml	2	0	1	2	0	89	0	0	0	0	0	0	2	0	0	6
pdf	0	0	8	2	9	4	57	5	5	6	0	3	0	2	0	0
png	0	0	0	0	3	0	3	59	9	8	0	9	0	8	0	0
pps	0	0	0	0	12	0	10	5	23	25	0	12	0	1	11	0
ppt	0	0	0	0	18	0	10	4	18	15	0	10	0	7	17	0
rtf	3	0	6	1	0	3	0	0	0	0	80	0	1	1	0	0
swf	0	0	2	0	18	0	7	4	13	13	0	36	0	4	0	0
tex	1	0	8	10	0	0	0	0	0	0	5	0	71	3	0	0
wp	0	0	0	3	0	0	0	4	4	3	0	0	0	85	0	0
xls	0	0	0	1	0	0	0	0	3	6	0	4	0	4	85	0
xml	0	0	0	2	0	14	0	0	0	0	0	0	1	0	0	84
