True	csv	docx	dwf	eps	gif	gz	hlp	html	kml	kmz	log	png	ppt	ps	rtf	swf	text	xls	xml
csv	81	0	0	0	0	0	0	7	1	0	3	0	0	5	0	0	2	0	1
docx	0	83	0	0	0	2	0	0	0	1	0	1	4	0	0	6	0	1	0
dwf	0	2	84	0	0	1	0	0	0	1	0	1	3	0	0	7	0	0	0
eps	3	0	0	54	1	0	0	0	0	0	3	0	0	36	0	1	3	0	1
gif	0	6	1	0	70	0	0	0	0	0	0	2	2	0	0	17	0	4	0
gz	0	0	10	0	0	42	0	0	0	13	0	0	9	0	0	25	0	0	0
hlp	2	0	0	1	0	0	88	1	2	0	3	0	0	1	1	0	2	0	0
html	2	0	0	1	0	0	0	78	3	0	2	0	0	1	0	0	1	0	9
kml	0	0	0	1	0	0	0	3	84	0	1	0	0	0	0	0	0	0	15
kmz	0	2	18	0	0	7	0	0	0	64	0	3	6	0	0	5	0	0	0
log	2	0	0	4	0	0	0	4	4	0	71	0	0	2	0	0	5	2	10
png	0	1	4	0	2	2	0	0	0	0	0	62	5	0	0	15	4	4	0
ppt	1	1	0	0	3	3	0	0	0	3	0	3	27	0	1	25	1	28	0
ps	5	0	0	10	0	2	0	6	0	0	3	0	0	70	1	0	0	0	1
rtf	2	0	0	0	0	0	1	1	0	0	0	0	0	4	84	0	0	1	3
swf	0	3	7	0	2	5	0	0	0	4	0	3	11	0	0	62	0	1	0
text	5	1	3	4	0	1	1	2	0	1	2	1	10	5	1	5	36	25	0
xls	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	93	0
xml	2	0	0	0	0	0	0	17	3	0	8	0	0	0	3	0	0	0	69
