True	doc	dwf	eps	fits	java	kml	pdf	png	pps	ppt	rtf	sql	swf	tex	text	tmp	unk	wp	xls	xml
doc	70	0	0	0	1	0	1	2	2	4	0	0	2	0	2	0	0	6	7	0
dwf	0	88	0	1	0	0	1	1	0	1	0	0	6	0	0	0	0	0	0	0
eps	2	1	79	3	0	1	3	0	0	0	2	3	0	0	2	2	1	0	0	2
fits	0	2	1	90	0	0	1	2	0	0	0	0	5	0	1	0	3	3	0	0
java	0	0	2	0	79	2	0	0	0	0	1	0	0	5	0	5	2	0	0	3
kml	0	0	0	0	0	92	0	0	0	0	0	1	0	1	0	0	2	0	0	3
pdf	0	10	2	2	0	2	57	6	0	2	0	0	9	0	1	3	1	0	0	0
png	0	11	0	0	0	0	5	54	1	4	0	0	6	0	1	0	0	12	0	0
pps	9	3	0	0	0	0	12	10	12	18	0	0	19	0	2	0	0	4	9	0
ppt	24	8	0	1	0	0	9	8	7	8	0	0	23	0	0	0	0	8	8	0
rtf	0	0	4	0	1	0	0	0	0	0	83	0	0	5	0	0	0	6	1	1
sql	2	0	2	2	3	1	0	0	0	0	0	52	0	5	10	5	9	3	0	3
swf	1	14	1	1	0	0	9	11	4	14	0	0	48	0	0	0	0	2	1	0
tex	0	0	0	0	1	4	0	0	0	0	2	4	0	79	0	8	0	1	0	2
text	26	1	3	10	0	0	3	0	0	4	0	8	4	3	16	3	4	9	1	0
tmp	2	0	1	3	2	1	3	0	0	0	4	14	0	2	2	68	2	0	0	1
unk	8	2	6	4	15	0	0	1	4	1	0	0	0	7	3	6	33	11	2	0
wp	0	8	0	0	1	0	0	5	3	0	0	0	2	0	0	2	5	72	1	0
xls	36	3	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	53	0
xml	0	0	0	0	0	17	0	0	0	0	0	2	0	3	1	5	2	0	0	74
