True	doc	docx	dwf	eps	f	gz	html	java	kml	log	pdf	png	ps	rtf	tex	text	tmp	troff	txt	unk	wp
doc	81	1	0	0	0	2	0	0	0	0	0	1	1	3	0	6	0	2	0	3	3
docx	1	72	0	0	0	14	0	0	0	0	2	4	0	0	0	2	0	0	0	0	2
dwf	0	0	92	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
eps	0	0	0	60	0	0	0	0	0	0	2	0	25	6	0	1	1	0	2	0	0
f	0	0	0	1	36	0	2	7	0	6	0	0	2	2	1	3	2	12	12	9	2
gz	0	2	7	0	0	77	0	0	0	0	7	7	0	0	0	1	0	0	0	0	3
html	0	0	0	7	3	0	66	3	1	7	0	0	1	2	0	0	3	4	4	1	0
java	0	0	0	0	8	0	0	56	0	16	0	0	2	7	2	0	3	2	7	7	0
kml	0	0	0	0	0	0	4	6	80	14	0	0	1	0	0	0	0	0	0	0	0
log	0	0	0	4	1	0	0	0	0	63	0	0	8	0	1	2	8	1	2	1	0
pdf	0	0	5	2	1	17	1	0	1	1	57	5	2	1	0	0	0	1	1	0	2
png	2	0	6	0	0	10	1	0	0	0	2	69	0	0	0	0	0	0	0	1	11
ps	0	0	0	21	0	2	0	0	0	8	2	0	58	5	1	0	2	0	5	0	0
rtf	0	0	0	0	2	0	1	0	0	2	0	0	4	92	2	0	0	0	1	1	0
tex	0	0	0	0	1	0	0	3	0	12	0	0	0	8	77	1	0	0	4	0	0
text	22	0	4	0	5	3	1	0	0	3	1	2	0	3	0	18	5	6	15	11	0
tmp	0	3	0	1	4	0	4	0	0	9	1	0	1	2	2	6	55	3	10	3	1
troff	0	0	0	6	2	0	2	2	0	4	0	0	3	1	0	4	6	43	13	9	1
txt	0	0	0	13	11	0	0	4	0	5	1	0	1	3	1	4	2	4	39	9	1
unk	3	1	2	1	4	2	1	5	0	4	0	0	1	2	0	11	2	5	4	40	2
wp	5	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	1	0	3	77
