True	dbase3	doc	docx	gz	html	java	jpg	kml	kmz	log	png	pps	pptx	rtf	sql	swf	tex	text	txt	unk	wp	xml
dbase3	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	76	3	2	2	1	2	0	0	0	0	6	1	0	1	2	0	1	0	1	0	0
docx	0	0	82	6	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
gz	0	0	0	54	0	0	0	0	19	0	2	2	19	0	0	6	0	0	0	0	0	0
html	0	0	0	0	60	0	1	0	0	4	0	0	0	0	6	0	3	2	3	5	0	16
java	0	0	0	0	0	57	2	2	0	19	0	0	0	0	2	0	2	1	0	14	0	3
jpg	0	1	1	6	0	0	72	0	1	0	7	1	7	0	0	8	0	0	0	2	2	0
kml	0	0	0	0	0	0	0	81	0	5	0	0	0	0	0	0	0	1	7	3	0	4
kmz	0	0	0	20	0	0	0	0	60	0	2	2	9	0	0	2	0	2	0	0	3	0
log	0	0	0	0	5	1	0	5	0	71	0	0	0	1	2	0	3	2	1	7	0	6
png	0	0	0	8	0	0	9	0	1	0	70	0	9	0	0	5	0	0	0	0	2	0
pps	0	16	1	23	0	0	0	0	4	0	4	20	16	0	0	11	0	0	0	0	2	0
pptx	0	1	13	23	0	0	0	0	1	0	5	1	33	0	0	16	0	0	0	1	1	0
rtf	0	0	0	1	2	0	0	0	0	1	0	0	0	79	0	0	5	2	2	3	0	0
sql	0	0	2	0	2	2	0	0	0	3	0	0	0	0	58	0	3	10	8	12	0	0
swf	0	1	1	20	0	0	1	0	6	0	5	4	19	0	0	40	0	0	0	0	5	0
tex	0	0	0	0	3	4	0	1	0	9	0	0	0	1	2	0	67	0	3	5	2	2
text	0	20	0	1	2	0	0	0	0	4	0	3	5	0	2	6	0	24	16	15	0	0
txt	0	0	0	0	1	1	2	0	0	6	0	0	0	0	7	0	0	13	38	31	1	0
unk	0	3	0	0	7	11	1	0	0	5	1	0	0	4	3	0	2	3	12	45	3	2
wp	0	2	0	0	0	0	0	0	1	0	8	5	5	1	0	2	1	1	5	6	66	0
xml	0	0	0	0	3	0	0	12	0	8	0	0	0	0	2	0	1	0	1	0	0	73
