True	dbase3	doc	eps	gif	html	java	jpg	kml	kmz	log	pdf	png	pps	pptx	rtf	swf	tex	text	tmp	txt	unk	wp	xls
dbase3	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	27	1	1	1	1	2	0	1	0	0	1	1	4	1	0	0	1	0	0	0	2	55
eps	0	0	85	0	0	1	0	0	0	0	3	0	0	0	0	0	0	4	1	7	0	1	0
gif	0	0	0	65	0	0	0	0	0	0	2	3	0	7	0	8	0	2	0	0	0	1	2
html	0	0	4	0	76	0	0	5	0	3	0	0	0	0	1	0	0	4	4	1	4	0	0
java	0	0	1	0	0	74	0	0	0	9	0	0	0	0	0	0	1	2	2	2	5	0	0
jpg	0	1	0	3	1	0	54	0	0	0	3	1	13	8	0	8	0	0	0	0	0	1	2
kml	0	0	1	0	3	1	0	99	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
kmz	0	0	0	0	0	0	0	0	63	0	0	8	8	15	0	1	0	0	0	0	0	4	0
log	0	0	9	0	0	8	0	4	0	61	0	0	0	0	6	0	2	0	6	3	2	0	0
pdf	0	0	3	7	2	0	0	1	8	3	55	3	3	8	0	6	0	0	1	1	0	0	0
png	0	0	0	7	0	0	0	0	2	0	2	58	4	14	0	13	0	0	0	0	0	1	1
pps	0	4	0	4	0	0	4	0	8	0	1	1	14	23	0	11	0	3	0	1	0	6	16
pptx	0	2	0	2	0	0	3	0	5	0	0	1	18	46	0	19	0	0	0	0	0	1	0
rtf	0	1	4	0	0	0	0	0	0	0	0	0	0	1	93	0	0	0	0	2	0	0	1
swf	0	0	0	5	0	0	6	0	1	0	5	2	8	28	0	45	0	1	0	0	0	1	1
tex	0	0	2	0	0	6	0	6	0	3	0	0	0	0	4	0	63	0	3	9	1	0	0
text	0	18	5	0	4	2	0	0	0	0	2	0	1	7	1	2	0	19	3	13	8	3	10
tmp	0	1	2	2	4	3	0	0	0	14	1	1	0	0	4	0	1	1	53	10	0	0	1
txt	0	0	9	0	2	10	0	2	0	7	1	0	0	0	0	0	5	8	6	41	10	0	0
unk	0	1	3	1	5	10	0	1	0	5	1	1	0	2	1	2	0	5	1	17	38	0	8
wp	0	3	0	0	0	1	2	0	2	0	0	8	1	0	1	3	0	0	0	4	0	79	1
xls	0	7	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	1	0	1	92
