True	csv	dbase3	doc	docx	f	fits	html	kmz	log	pdf	png	pps	ppt	pptx	rtf	sql	tex	text	tmp	troff	unk	wp	xls	xml
csv	68	0	0	0	7	2	0	0	8	0	0	0	0	0	0	5	0	0	4	5	4	0	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	69	1	0	1	1	0	1	0	0	4	0	2	0	0	0	1	1	0	2	2	7	0
docx	0	0	1	84	0	1	0	4	0	1	2	1	1	9	0	0	0	0	0	0	0	0	0	0
f	0	0	0	0	38	1	1	0	9	0	0	0	0	0	0	13	0	2	3	11	16	5	0	0
fits	0	0	1	0	2	79	0	0	0	2	0	1	0	4	0	0	0	2	0	1	4	1	2	0
html	2	0	0	0	6	0	63	0	2	2	0	0	0	0	0	2	3	0	0	0	4	0	0	17
kmz	0	0	0	0	0	0	0	71	0	0	4	4	1	19	0	0	0	0	0	0	0	0	0	0
log	3	0	0	0	4	2	2	0	65	0	0	0	0	0	4	1	7	1	8	0	3	0	0	3
pdf	0	0	0	2	0	5	0	6	3	50	1	2	1	25	0	0	0	1	3	0	1	0	0	3
png	0	0	1	2	0	0	0	7	0	1	47	5	1	26	0	0	0	0	0	0	0	8	0	0
pps	0	0	12	2	0	1	0	4	0	7	2	12	10	43	0	1	0	2	1	0	0	2	2	0
ppt	0	0	29	0	0	2	0	7	0	1	2	13	2	27	0	0	1	0	0	0	0	3	13	0
pptx	0	0	3	20	0	1	0	6	0	5	2	12	4	47	0	0	0	0	0	0	0	0	0	0
rtf	0	0	1	0	0	0	0	0	0	0	0	1	0	0	91	0	2	0	0	0	2	1	0	0
sql	1	0	0	2	12	0	2	0	5	1	0	0	0	0	0	37	1	2	0	6	24	3	0	2
tex	1	0	0	0	1	0	2	0	11	0	0	0	0	0	3	4	53	0	2	1	13	0	0	9
text	0	0	19	0	8	15	1	1	4	3	0	1	1	1	0	3	1	21	0	5	7	2	1	0
tmp	2	0	0	6	6	2	5	0	9	3	0	0	0	0	1	4	0	9	41	2	9	0	2	0
troff	1	0	0	0	7	2	0	0	8	0	0	0	0	0	0	0	0	4	3	64	11	3	0	0
unk	0	0	9	0	8	12	3	1	3	1	1	1	0	2	0	2	1	1	2	4	40	6	2	3
wp	0	0	4	1	1	1	0	0	1	0	5	5	1	2	0	0	0	1	0	1	4	74	0	0
xls	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	69	0
xml	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	6	0	0	0	0	4	0	0	84
