True	csv	doc	dwf	eps	f	fits	gif	gz	hlp	html	kml	kmz	pdf	png	pps	ppt	pptx	ps	sql	tmp	troff	unk	wp	xls	xml
csv	71	0	0	1	2	0	0	0	1	2	6	0	0	0	0	0	0	2	5	4	3	3	0	0	1
doc	0	13	1	0	0	1	1	1	1	0	0	1	0	2	6	3	4	0	0	0	0	1	2	60	0
dwf	0	0	82	0	0	1	1	4	0	0	0	2	2	0	4	2	3	0	0	0	0	0	0	0	0
eps	0	0	0	83	1	2	1	0	0	0	1	1	1	0	0	1	0	9	0	2	0	1	0	0	0
f	8	0	0	0	5	6	0	0	11	1	0	0	1	0	0	0	0	5	13	6	12	20	4	0	1
fits	0	1	4	0	2	69	1	0	0	0	0	0	2	0	2	0	0	7	0	0	1	1	2	1	0
gif	0	1	3	0	0	1	74	1	0	0	0	0	4	8	2	0	7	0	0	0	0	0	3	2	0
gz	0	0	11	0	0	0	1	41	0	0	0	21	6	5	9	1	4	0	0	0	0	0	0	0	0
hlp	0	0	0	1	4	0	0	0	68	0	0	0	0	0	0	0	0	0	10	5	4	3	4	0	0
html	6	0	0	1	0	0	0	0	2	53	17	0	0	0	0	0	0	5	6	0	0	3	0	0	8
kml	3	0	0	4	2	0	0	0	1	1	88	0	1	0	0	0	0	0	0	3	0	0	0	0	3
kmz	0	0	19	0	0	0	3	9	0	0	0	49	0	7	9	0	3	0	0	0	0	0	0	0	0
pdf	1	0	2	5	0	1	1	2	0	1	2	4	61	8	4	1	4	4	1	0	1	0	0	0	1
png	0	0	5	0	0	0	3	3	0	0	0	5	3	59	6	0	4	0	0	0	0	0	3	0	0
pps	0	1	7	0	0	0	3	11	0	0	0	8	5	9	29	4	12	0	0	0	0	0	4	10	0
ppt	0	2	7	0	0	0	4	5	0	0	0	6	5	7	15	6	5	0	0	0	0	0	7	25	0
pptx	0	1	7	0	0	0	2	13	0	0	0	9	2	12	19	4	30	0	0	2	0	0	0	1	0
ps	1	0	0	36	4	1	0	0	2	0	0	0	5	0	0	0	0	55	1	1	0	0	0	0	0
sql	0	0	0	9	4	0	0	0	6	0	1	0	0	0	0	0	0	0	51	11	8	6	1	0	2
tmp	0	0	0	7	2	2	0	0	1	9	2	0	0	0	0	0	0	5	14	52	6	2	0	0	3
troff	3	0	0	6	5	2	0	0	2	2	2	0	0	0	0	0	0	5	8	0	59	4	2	0	2
unk	3	2	0	1	11	11	0	0	9	3	0	0	0	0	3	0	0	3	4	3	1	31	4	5	3
wp	0	1	5	0	0	0	1	0	2	1	0	2	0	4	4	0	0	0	1	2	0	1	71	2	0
xls	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	94	0
xml	1	0	0	6	2	0	0	0	0	6	31	0	0	0	0	0	0	2	1	0	0	0	0	0	50
