True	dbase3	doc	docx	dwf	eps	f	fits	gz	hlp	java	kmz	log	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	txt	unk	wp
dbase3	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	82	0	1	0	0	0	0	1	0	1	1	0	3	2	2	0	2	0	2	0	2	0	0	0	2
docx	0	0	86	0	0	0	1	2	0	0	1	0	0	3	0	4	0	0	0	3	0	0	0	0	0	0
dwf	0	0	0	78	0	0	0	2	0	0	1	0	2	2	1	4	0	0	0	9	0	0	0	0	0	0
eps	0	0	0	0	65	1	1	0	0	0	0	1	0	1	1	0	19	0	0	0	1	0	1	6	0	0
f	0	0	0	0	0	39	0	0	3	2	0	1	0	0	0	0	6	0	6	0	1	5	1	13	15	2
fits	1	0	0	3	0	2	72	1	0	0	0	0	2	2	0	0	1	0	0	3	0	0	3	7	2	2
gz	0	0	0	4	0	0	0	44	0	0	12	0	0	12	1	16	0	0	0	9	0	0	0	0	0	0
hlp	0	0	0	0	0	7	0	0	61	4	0	0	0	0	0	0	2	3	5	0	0	0	4	1	9	0
java	0	0	0	0	0	7	0	0	5	76	0	5	0	0	0	0	1	0	2	0	1	0	0	1	7	0
kmz	0	0	0	5	0	0	1	10	0	0	59	0	4	7	1	9	0	0	0	1	0	2	0	0	0	0
log	0	2	0	0	2	2	1	0	0	3	0	58	0	0	0	0	15	0	0	0	5	4	3	4	1	0
png	0	0	0	2	0	0	0	0	0	0	2	0	66	5	3	5	0	0	0	13	0	0	0	0	1	2
pps	0	14	0	3	0	0	2	9	0	0	9	0	1	17	11	12	0	1	0	11	0	5	0	0	1	3
ppt	0	27	0	3	0	0	1	5	0	0	2	0	2	16	17	14	0	1	0	7	0	2	0	0	1	2
pptx	0	0	4	0	0	0	1	19	0	0	6	0	4	18	4	24	0	0	0	13	0	0	0	0	0	3
ps	0	0	0	0	33	0	0	0	0	3	1	0	0	0	0	0	64	2	0	0	2	0	1	0	0	0
rtf	0	0	0	0	3	0	0	0	2	0	0	0	0	0	2	0	4	85	0	0	3	0	0	0	2	0
sql	0	0	2	0	8	9	0	0	4	2	0	6	0	0	0	0	1	0	39	0	7	2	10	6	3	0
swf	0	0	0	4	2	0	1	4	0	0	5	0	5	15	3	18	0	0	0	46	0	0	0	0	0	2
tex	0	0	0	0	0	1	0	0	0	1	0	12	0	0	0	0	3	1	2	0	78	0	2	0	3	1
text	0	23	1	1	2	15	7	2	0	0	0	0	1	2	2	3	9	0	0	3	0	16	1	11	2	2
tmp	0	1	4	0	4	3	0	0	1	1	0	4	0	0	0	0	4	0	8	0	0	3	57	4	1	1
txt	0	0	0	0	1	9	5	0	4	1	0	4	0	0	0	0	12	1	6	0	5	5	7	27	11	3
unk	0	0	0	0	2	14	10	0	0	5	1	5	1	1	0	0	6	2	4	0	0	5	5	8	27	3
wp	0	2	0	3	0	0	2	0	0	0	3	0	11	0	0	1	0	0	0	1	0	1	0	2	2	75
