True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	java	jpg	kmz	log	pdf	png	pps	pptx	sql	swf	text	tmp	troff	txt	unk	wp	xml
csv	74	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	0	0	4	0	0	2	8	6	2	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
doc	0	0	57	1	0	0	2	1	0	1	0	2	0	0	0	0	22	0	0	3	1	1	0	1	4	5	0
docx	0	0	0	90	0	0	0	0	0	5	0	1	1	0	1	0	2	2	0	1	0	0	0	0	0	0	0
dwf	0	0	0	2	75	0	0	0	0	5	0	1	5	0	0	1	4	6	0	3	0	0	0	0	0	0	0
eps	0	0	0	0	1	68	2	2	0	0	0	0	0	6	2	0	0	0	0	0	3	1	0	5	6	0	3
f	7	0	0	0	0	1	28	2	0	0	6	0	0	0	0	0	0	0	7	0	2	6	13	18	10	0	3
fits	0	0	0	0	1	1	0	78	4	0	0	1	0	0	0	2	3	0	0	6	1	0	0	3	1	0	0
gif	0	0	1	0	3	0	0	2	65	0	0	0	1	0	4	3	6	1	0	5	4	0	0	0	1	2	0
gz	0	0	0	0	3	0	0	0	0	56	0	0	10	0	5	0	5	17	0	3	0	0	0	0	0	0	0
java	2	0	0	0	0	0	3	0	0	0	74	0	0	7	0	0	0	0	2	0	0	1	1	4	5	0	4
jpg	0	0	2	0	4	0	0	1	2	2	0	66	0	0	2	1	4	5	0	2	0	1	0	0	1	1	0
kmz	0	0	0	0	9	0	0	0	1	10	0	1	64	0	0	2	9	6	0	2	0	0	0	0	0	0	0
log	1	0	0	0	0	2	1	0	0	0	2	0	0	74	1	0	0	0	1	0	1	5	2	3	4	0	2
pdf	0	0	0	0	2	1	0	1	1	7	0	2	7	1	50	0	4	12	0	4	1	1	1	0	1	0	0
png	0	0	0	0	4	0	0	0	7	5	0	0	6	0	1	50	10	7	0	4	0	0	0	0	0	6	0
pps	0	0	11	0	4	0	0	0	4	10	0	0	1	0	2	0	31	20	0	9	0	0	0	0	1	1	0
pptx	0	0	1	12	3	0	0	0	3	17	0	5	4	0	5	1	19	17	0	10	1	0	0	0	0	2	0
sql	8	0	0	3	0	2	12	0	0	0	4	0	0	0	0	0	0	0	32	0	2	19	0	5	16	0	0
swf	0	0	0	0	5	0	0	0	1	3	0	5	1	0	4	14	13	15	0	38	0	0	0	0	0	2	0
text	0	0	21	0	1	1	3	7	3	2	1	1	1	2	0	0	4	0	2	1	20	6	10	12	3	2	0
tmp	0	0	0	6	0	1	1	1	4	0	0	0	0	0	4	0	3	0	3	0	2	59	2	7	5	1	2
troff	0	0	0	0	0	2	6	1	0	0	4	0	0	2	0	0	0	0	4	0	1	5	61	5	3	2	0
txt	3	0	0	0	0	1	17	7	0	0	5	0	0	0	0	0	0	0	2	0	8	3	5	33	11	1	0
unk	0	0	1	1	0	0	10	9	0	0	3	2	0	3	1	0	0	0	3	0	4	13	3	15	31	1	2
wp	0	0	1	0	5	0	2	1	0	0	3	2	2	0	0	11	1	0	0	0	0	0	0	3	3	62	0
xml	0	0	0	0	0	0	1	0	0	0	3	0	0	8	0	0	0	0	2	0	0	1	0	0	5	0	85
