True	csv	dbase3	docx	dwf	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	pptx	ps	swf	tex	text	troff	txt	unk	wp	xls	xml
csv	73	0	0	0	4	1	0	0	4	1	0	0	1	0	0	0	0	0	0	7	0	1	2	3	5	0	0	0	1
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	70	1	0	0	1	6	0	0	0	0	0	2	0	0	0	0	6	0	3	0	0	0	0	0	1	0	0
dwf	0	0	0	71	0	1	1	3	0	0	0	2	0	0	0	1	0	0	4	0	13	0	2	0	0	0	0	0	0
f	1	0	0	0	32	8	0	0	6	3	7	0	0	0	2	0	0	0	0	3	0	1	0	11	16	22	0	0	0
fits	0	0	1	1	1	72	5	0	0	0	0	1	0	0	0	0	3	0	0	2	6	0	2	0	0	8	0	0	0
gif	0	0	1	4	0	0	73	0	0	0	0	3	0	1	0	1	2	1	1	0	10	0	0	0	0	0	0	1	0
gz	0	0	0	3	0	1	2	45	0	0	0	0	0	13	0	4	0	2	23	0	10	0	0	0	0	0	1	0	0
hlp	0	0	0	0	5	0	0	0	65	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	5	0	0
html	0	0	0	0	6	3	0	0	0	56	1	0	1	0	0	3	1	0	0	5	0	9	0	4	2	5	0	0	11
java	0	0	0	0	8	0	0	0	16	5	52	0	0	0	7	0	0	0	0	2	0	0	0	0	4	12	0	0	0
jpg	0	0	0	2	0	0	3	2	0	0	0	63	0	0	0	1	0	4	4	0	9	0	0	0	0	0	1	2	0
kml	0	0	0	0	2	0	0	0	0	2	5	0	71	0	4	1	0	0	0	0	0	0	0	0	1	1	0	0	11
kmz	0	0	0	12	0	0	0	9	0	0	0	0	0	49	0	3	7	1	9	0	3	0	0	0	0	0	2	0	0
log	2	0	1	0	5	1	0	0	0	8	4	0	1	0	47	3	0	0	0	10	0	0	2	1	1	2	0	0	4
pdf	0	0	0	3	0	2	0	4	0	1	0	2	1	1	0	54	1	0	11	2	10	0	0	0	0	0	1	0	1
png	0	0	0	8	0	2	1	7	0	0	0	5	0	1	0	0	45	1	9	0	9	0	0	0	0	0	5	0	0
pps	0	0	0	5	0	1	2	13	0	0	0	2	0	2	0	1	1	15	27	0	15	0	3	0	0	0	3	8	0
pptx	0	0	21	1	0	1	1	20	0	0	0	1	0	5	0	2	0	0	18	0	31	0	0	0	0	0	1	1	0
ps	0	0	0	0	1	0	0	2	1	1	3	0	3	0	4	3	0	0	0	74	0	0	0	1	5	0	0	0	0
swf	0	0	0	4	1	2	1	7	0	0	0	3	0	1	0	1	5	3	12	0	59	0	0	0	0	1	6	4	0
tex	1	0	0	0	3	0	0	0	1	1	8	0	3	0	5	0	0	0	0	5	0	76	2	3	0	1	0	0	1
text	0	0	2	2	2	8	4	3	0	3	1	2	1	0	0	0	0	4	2	5	3	1	23	5	6	13	2	11	0
troff	3	0	0	0	5	1	0	0	3	4	4	0	0	0	9	0	0	0	0	9	0	0	3	49	5	8	0	0	0
txt	2	0	0	0	10	14	0	0	1	2	3	0	0	0	2	2	0	0	0	2	0	0	6	6	25	15	5	0	0
unk	1	0	2	0	15	3	0	0	2	1	5	2	0	0	3	4	0	2	0	4	0	1	2	9	12	28	1	7	0
wp	0	0	0	9	1	3	2	0	0	0	0	0	0	0	0	0	5	1	0	0	3	0	1	0	1	3	73	2	0
xls	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	95	0
xml	0	0	0	0	0	0	0	0	0	4	6	0	9	0	4	1	0	0	0	5	0	0	0	0	0	0	0	0	69
