True	csv	dbase3	doc	docx	dwf	eps	fits	gif	gz	html	java	jpg	kmz	log	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	troff	txt	unk	wp	xls	xml
csv	70	0	0	0	0	4	0	0	0	0	1	0	0	4	0	0	0	0	0	3	1	0	0	0	13	4	0	0	0	0
dbase3	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	35	3	0	0	0	1	1	0	0	1	0	0	2	6	0	1	0	4	0	0	0	4	0	4	0	3	34	0
docx	0	0	0	82	0	0	0	0	6	0	0	0	0	0	2	5	0	2	0	0	0	2	0	0	0	0	0	0	0	0
dwf	0	0	0	0	72	0	1	0	2	0	0	2	1	0	3	9	0	3	0	0	0	7	0	3	0	0	0	0	0	0
eps	3	0	0	0	0	69	4	0	0	0	0	0	0	0	0	0	0	1	10	10	0	0	0	0	0	1	0	0	0	0
fits	1	0	1	0	0	0	57	4	1	0	0	1	0	2	2	2	0	2	2	0	0	6	0	4	1	8	7	0	1	0
gif	0	0	0	4	6	0	0	70	1	0	0	2	0	0	5	5	0	2	0	0	0	7	0	0	0	0	0	0	0	0
gz	0	0	0	0	3	0	0	0	41	0	0	0	9	0	0	33	0	5	0	0	0	7	0	0	0	0	0	0	0	0
html	8	0	0	0	0	3	0	0	0	70	3	0	0	2	0	0	0	0	1	2	2	0	2	1	1	1	0	0	0	5
java	2	0	0	0	0	3	0	0	0	0	71	0	0	4	0	0	0	0	3	3	4	0	1	0	3	3	2	0	0	0
jpg	0	1	0	0	4	0	0	3	1	1	0	60	0	0	2	17	1	1	0	0	0	5	0	0	0	0	1	6	0	0
kmz	0	0	0	0	8	0	0	0	3	0	0	0	68	0	2	15	0	2	0	0	0	4	0	0	0	0	0	0	0	0
log	3	0	0	0	0	16	0	0	0	6	5	0	0	39	0	0	0	0	12	1	2	0	5	0	5	3	1	0	0	1
png	1	0	0	0	7	0	1	4	2	0	0	0	0	0	51	15	0	4	0	0	0	8	0	0	0	0	0	0	4	0
pps	0	0	3	0	3	0	0	1	10	0	0	3	3	0	6	40	2	3	0	0	0	12	0	2	0	0	0	1	7	0
ppt	0	0	7	0	0	0	1	2	10	0	0	3	5	0	0	33	2	2	0	0	0	11	0	4	0	0	0	2	18	0
pptx	0	0	1	11	3	0	1	3	7	0	0	1	1	0	4	53	0	5	0	0	0	9	0	0	0	0	0	1	3	0
ps	2	0	0	0	0	24	3	0	0	1	1	0	3	1	0	0	0	0	47	10	2	0	0	2	0	4	2	0	0	0
rtf	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	89	0	0	0	0	0	1	0	0	0	0
sql	7	0	0	1	0	3	0	0	0	4	4	0	0	3	0	0	0	0	0	5	46	0	1	2	1	16	0	0	0	0
swf	0	0	0	0	2	0	0	0	2	0	0	0	3	0	10	23	1	1	0	0	0	51	0	1	0	0	0	4	0	0
tex	2	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	1	11	3	0	64	0	2	4	0	0	0	2
text	2	0	12	0	0	3	4	4	3	4	0	0	1	1	0	4	1	1	2	5	6	2	0	22	3	12	1	2	10	0
troff	5	0	0	0	0	4	2	0	0	3	8	0	0	0	0	0	0	0	0	0	6	0	0	1	55	14	0	3	0	0
txt	9	0	0	0	0	5	7	0	0	0	8	0	0	1	0	0	0	0	2	3	2	0	0	13	10	30	12	1	0	0
unk	4	0	1	2	0	5	4	0	1	0	10	1	0	0	0	0	0	0	1	5	5	0	0	12	4	18	17	8	3	1
wp	0	0	0	0	4	0	1	1	0	0	0	1	1	0	13	3	1	0	0	1	0	2	0	0	0	1	2	65	1	0
xls	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	3	1	1	0	1	67	0
xml	3	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	2	3	0	0	8	0	0	0	0	0	0	81
