True	csv	dbase3	docx	dwf	eps	f	fits	gif	hlp	html	java	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	70	0	0	0	0	2	0	0	0	7	1	0	0	4	0	0	0	0	0	0	5	0	3	2	1	8	3	0	0	0	0
dbase3	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	94	2	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
dwf	0	0	1	76	0	0	0	0	0	0	0	0	2	0	0	2	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	75	0	1	0	0	0	0	0	0	6	1	0	2	0	6	0	0	0	2	0	1	0	4	0	0	0	0
f	0	0	0	0	2	12	6	0	2	3	9	3	0	1	0	0	0	0	1	0	12	0	0	2	6	9	22	15	0	0	2
fits	0	0	0	0	1	1	59	3	1	0	0	0	1	0	2	3	2	1	1	0	0	8	0	7	2	0	7	4	1	0	0
gif	0	0	2	4	0	0	0	69	0	0	0	0	0	0	1	8	1	1	0	0	0	7	0	0	1	0	0	2	3	0	0
hlp	0	0	0	0	0	0	0	0	62	0	2	0	0	0	0	0	0	0	0	0	14	0	0	1	0	2	15	2	0	0	0
html	0	0	0	0	3	1	2	0	0	62	0	0	0	3	3	0	0	0	5	0	2	0	0	0	2	2	0	4	0	0	10
java	0	0	0	0	2	1	0	0	1	0	66	0	0	5	0	0	0	0	0	0	5	0	0	3	1	1	1	8	0	0	0
kml	0	0	0	0	1	0	0	0	0	7	3	58	0	11	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	14
kmz	0	0	0	5	0	0	0	0	0	0	0	0	65	0	1	4	13	4	0	0	0	11	0	0	0	0	0	0	0	0	0
log	0	0	0	0	7	2	1	0	0	1	11	1	0	55	1	0	0	0	5	2	0	0	0	0	4	2	0	4	2	0	0
pdf	0	0	0	5	5	0	0	2	0	1	0	0	5	3	41	2	9	2	2	0	0	18	0	0	0	0	0	1	0	0	3
png	0	0	0	7	0	0	0	6	0	0	0	0	1	0	0	56	16	1	0	0	0	8	0	0	0	0	0	0	0	0	0
pps	0	0	0	4	0	0	0	1	0	0	0	0	6	0	0	4	24	24	0	0	1	22	0	1	0	0	0	2	5	16	0
ppt	0	0	0	2	0	0	0	3	0	0	0	0	5	0	1	5	20	15	0	0	0	21	0	3	0	0	0	0	2	24	0
ps	3	0	0	0	27	0	3	0	1	1	0	2	1	9	0	0	0	0	38	0	0	0	1	1	0	0	4	2	0	0	0
rtf	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	1	4	75	2	0	2	0	0	0	6	0	0	1	0
sql	2	0	0	0	4	17	0	0	2	2	3	0	0	0	0	0	0	0	0	0	45	0	0	4	12	7	7	3	0	0	0
swf	0	0	0	7	0	0	0	3	0	0	0	0	3	0	0	6	20	5	0	0	1	54	0	0	1	0	0	0	1	0	0
tex	1	0	0	0	1	0	0	0	2	5	5	1	0	3	0	0	0	0	1	0	4	0	64	0	3	0	4	1	0	0	6
text	0	0	0	1	4	4	2	2	0	4	0	0	1	2	1	3	2	2	1	0	6	1	0	19	4	4	11	8	0	18	0
tmp	0	0	0	0	2	5	0	0	0	6	0	0	0	8	2	0	0	0	0	0	6	0	0	5	63	6	0	6	0	1	0
troff	0	0	0	0	3	9	0	0	0	9	1	0	0	3	0	0	0	0	3	0	7	0	0	2	0	58	8	5	0	0	0
txt	2	0	0	0	4	3	2	0	4	2	3	0	0	2	1	1	0	0	1	0	1	0	1	15	9	6	36	6	0	0	0
unk	1	0	0	2	1	3	6	0	4	3	10	0	1	1	2	0	1	1	0	0	5	0	0	0	3	5	9	32	2	8	1
wp	0	0	0	7	0	0	2	2	2	0	0	0	0	0	0	6	3	0	0	0	5	0	0	0	0	1	10	2	62	0	0
xls	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	3	5	0	0	0	2	0	0	3	1	0	0	5	73	0
xml	0	0	0	0	3	0	0	0	0	18	4	2	0	1	1	0	0	0	0	0	1	0	0	1	4	1	0	1	0	0	54
