True	csv	dbase3	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls
csv	52	0	0	0	0	5	0	0	0	0	1	1	0	0	0	2	0	0	0	0	5	0	7	0	1	3	4	15	1	1	0	0
dbase3	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	83	1	0	0	0	0	7	0	0	0	0	0	4	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	78	0	0	0	3	5	0	0	0	0	0	5	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0
eps	0	0	0	0	65	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	28	0	1	0	0	0	1	0	3	4	0	0
f	5	0	0	0	0	22	0	0	0	1	2	6	0	0	0	1	0	0	0	0	6	1	7	0	0	6	1	14	9	15	0	0
fits	0	0	1	0	1	2	59	4	0	0	0	0	0	0	0	3	2	5	0	0	4	0	0	1	0	3	0	0	1	9	3	2
gif	0	0	0	2	0	0	0	66	0	0	0	0	0	0	0	2	9	3	0	1	0	0	0	9	0	0	0	0	0	0	4	0
gz	0	0	0	4	0	0	0	0	64	0	0	0	0	0	8	1	1	1	1	14	0	0	0	5	0	0	0	0	0	0	0	0
hlp	1	0	0	0	0	6	0	0	0	77	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	3	3	4	3	0
html	0	0	0	0	2	1	0	0	0	0	66	4	0	5	0	0	0	0	0	0	3	0	0	0	1	1	3	6	1	0	0	0
java	0	0	0	0	1	6	0	0	0	0	5	71	0	0	0	0	0	0	0	0	3	2	3	0	2	1	1	3	4	6	0	0
jpg	0	0	0	3	2	0	0	0	4	0	0	0	64	0	0	0	1	8	3	12	0	0	0	5	0	0	0	0	0	0	0	0
kml	1	0	0	0	0	2	0	0	0	0	12	7	0	84	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0
kmz	0	0	0	12	0	0	0	0	12	0	0	0	0	0	55	0	5	2	1	5	0	0	0	2	0	0	0	0	0	0	3	0
pdf	0	0	0	3	0	2	0	1	6	0	4	0	0	3	5	44	0	5	0	10	5	0	0	10	0	0	0	0	0	0	0	0
png	0	0	0	2	0	0	0	6	7	0	0	0	0	0	6	2	58	3	0	6	0	0	0	6	0	0	0	0	0	0	3	0
pps	0	0	1	3	0	0	0	1	22	0	0	0	0	0	0	0	3	18	10	19	0	0	0	10	0	1	0	0	0	0	4	7
ppt	0	0	0	2	0	0	0	4	8	0	0	0	0	0	4	0	1	25	15	28	0	2	0	3	0	2	1	0	0	1	2	8
pptx	0	0	8	6	0	0	1	3	24	0	0	0	0	0	5	1	5	9	0	26	0	2	0	8	0	0	0	0	0	0	2	0
ps	1	0	0	0	14	0	0	0	0	0	6	9	0	0	0	2	0	0	0	0	61	1	1	0	0	3	0	4	0	0	0	0
rtf	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	2	89	0	0	4	0	0	0	0	1	0	0
sql	3	0	0	0	3	8	0	0	0	1	0	2	0	2	0	0	0	0	0	0	6	0	42	0	0	0	11	3	2	5	4	0
swf	0	0	0	3	0	0	1	3	13	0	0	0	0	0	3	2	9	6	0	21	0	0	0	37	0	0	0	0	0	0	0	0
tex	1	0	0	0	2	2	0	0	0	0	0	1	0	6	0	2	0	0	0	0	5	2	1	0	64	0	5	3	6	0	0	0
text	0	0	0	0	1	5	1	0	4	1	1	1	0	0	0	1	1	3	9	3	6	0	5	4	1	23	2	3	12	4	4	6
tmp	0	0	0	0	1	2	0	5	0	6	10	0	0	1	0	4	0	1	0	0	8	0	2	0	0	1	49	1	8	1	0	0
troff	0	0	0	0	2	5	0	0	0	4	2	2	0	0	0	0	0	0	0	0	6	0	3	0	0	2	0	64	3	3	1	0
txt	1	0	0	0	3	10	4	0	0	0	4	8	0	0	0	4	0	0	0	0	7	0	4	0	0	6	2	14	23	7	3	0
unk	0	0	1	0	2	8	3	3	2	0	3	10	0	0	0	1	0	3	2	1	6	1	2	0	0	3	2	6	6	30	2	2
wp	1	0	1	2	0	0	2	0	0	3	0	0	0	0	0	0	7	2	0	1	0	0	2	1	0	0	1	1	4	0	64	1
xls	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	20	0	0	0	1	2	0	1	0	0	0	0	1	66
