True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	kml	kmz	log	pdf	png	pps	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	78	0	0	0	0	1	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	0	3	2	1	2	0	0	0
dbase3	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
doc	0	0	37	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	26	0	0	0	1	10	15	0
docx	0	0	0	94	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	0
dwf	0	0	0	0	77	0	0	0	1	2	0	0	0	0	9	0	0	2	2	0	0	0	0	8	0	0	0	0	0	0	2	0	0
eps	0	0	0	0	1	51	0	1	2	0	0	0	0	0	0	0	0	0	0	0	25	9	0	0	0	0	0	2	0	0	0	0	0
f	1	0	1	0	0	1	21	2	0	0	0	0	1	0	0	5	0	0	0	0	1	0	9	0	0	11	3	12	14	10	1	0	0
fits	0	0	3	0	0	0	0	88	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	7	0	0	1	2	2	0	0
gif	0	0	4	1	1	0	0	10	63	0	0	0	0	0	0	0	1	7	3	3	0	0	0	4	0	3	0	0	0	0	2	1	0
gz	0	0	0	3	1	0	0	0	0	55	0	0	0	0	30	0	0	0	5	7	0	0	0	2	0	0	0	0	0	0	0	0	0
hlp	0	0	2	0	0	0	5	0	0	0	61	0	0	0	0	1	0	0	0	0	0	2	2	0	0	8	0	1	7	5	4	0	0
html	4	0	0	0	0	6	1	2	0	0	0	51	1	1	0	0	0	0	0	0	9	3	0	1	1	1	4	0	1	2	3	0	10
java	3	0	0	0	0	0	12	3	0	0	6	0	51	0	0	8	0	0	0	0	0	1	0	0	3	0	3	0	2	8	0	0	2
kml	1	0	0	0	0	1	0	0	0	0	0	0	6	68	0	0	0	0	0	0	4	1	1	0	0	0	0	0	3	1	0	0	8
kmz	0	0	0	1	5	0	0	0	0	6	0	0	0	0	70	0	0	3	5	3	0	0	0	0	0	2	0	0	0	0	1	0	0
log	1	0	3	0	0	4	3	0	0	0	0	0	1	2	0	44	0	0	0	0	9	3	0	0	1	9	7	3	4	4	0	0	3
pdf	0	0	1	1	2	5	1	4	1	12	0	0	0	0	6	0	39	2	4	7	6	0	0	5	0	1	0	0	0	0	0	0	0
png	0	0	0	0	2	0	0	2	0	5	0	2	0	0	5	0	2	60	7	7	0	0	0	7	0	0	1	0	0	0	6	0	0
pps	0	0	4	0	2	0	0	1	4	15	0	0	0	0	17	0	0	5	12	11	0	0	0	12	0	8	1	0	0	0	6	8	0
pptx	0	0	1	16	3	0	0	2	2	9	0	0	0	0	16	0	1	1	12	10	1	0	0	10	0	2	0	0	0	0	5	1	0
ps	3	0	0	0	0	12	0	4	0	0	0	0	4	1	0	5	1	0	0	0	60	4	0	0	0	1	3	1	1	1	1	2	0
rtf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	99	0	0	1	0	0	0	0	0	0	2	0
sql	2	0	0	3	0	2	6	0	0	0	2	0	2	0	0	3	0	0	0	0	11	2	22	0	0	11	13	10	6	8	2	0	0
swf	0	0	0	1	1	0	0	2	1	10	0	0	0	0	16	0	4	3	9	4	0	0	0	31	0	0	0	0	0	0	7	2	0
tex	0	0	0	0	0	3	0	0	0	0	0	1	0	3	0	3	0	0	0	0	4	8	2	0	65	2	0	0	6	0	0	0	3
text	0	0	6	0	0	1	4	7	0	2	2	0	1	0	1	0	0	0	3	2	4	3	1	3	0	46	0	1	9	2	2	5	0
tmp	0	0	0	1	0	4	0	1	0	0	3	0	0	0	0	2	3	0	0	0	4	0	5	0	0	6	51	2	6	3	6	0	0
troff	7	0	0	0	0	1	4	3	0	0	4	1	2	0	0	3	0	0	0	0	4	1	1	0	0	5	0	53	1	6	6	0	0
txt	5	0	0	0	0	4	6	9	0	0	1	1	0	0	0	0	0	0	0	0	3	2	0	0	0	26	3	6	28	5	4	0	0
unk	0	0	5	1	0	1	4	14	2	1	2	0	2	0	0	1	1	0	0	0	9	3	1	0	0	7	0	1	4	27	9	1	0
wp	1	0	0	0	1	0	1	1	0	0	0	0	0	0	4	0	0	5	2	1	0	1	0	0	0	1	0	0	1	1	72	3	0
xls	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	6	77	0
xml	1	0	0	0	0	2	2	0	0	0	0	8	2	4	0	2	0	0	0	0	9	2	0	0	1	0	0	0	1	5	0	0	70
