True	csv	dbase3	doc	docx	dwf	eps	f	fits	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	56	0	0	0	0	0	14	0	0	0	4	1	0	0	0	5	0	0	0	0	0	2	0	4	0	2	0	1	2	2	3	0	0	0
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	50	3	1	0	1	0	0	0	1	1	2	0	0	0	1	2	2	13	2	0	0	0	3	0	1	0	0	0	0	1	13	0
docx	0	0	0	77	0	0	0	0	8	0	0	0	0	0	2	0	0	1	0	1	8	0	0	0	5	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	77	0	0	0	5	0	0	0	5	0	1	0	1	0	0	2	2	0	0	0	7	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	53	0	0	0	0	1	0	0	0	0	5	2	0	0	0	0	22	3	1	0	0	0	1	0	7	0	0	0	5
f	2	0	0	0	0	1	26	2	0	1	0	13	0	0	0	3	0	0	0	0	0	6	0	6	0	0	1	1	12	9	13	0	0	1
fits	0	0	1	0	3	0	2	68	0	0	0	0	1	0	0	0	4	4	2	0	0	1	0	0	8	0	1	0	0	1	7	0	1	0
gz	0	0	0	0	5	0	0	0	52	0	0	0	0	0	4	0	3	0	3	4	9	0	0	0	19	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	10	1	0	54	0	14	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	7	0	4	0	0	0
html	3	0	0	0	0	0	2	0	0	1	61	1	0	1	0	2	0	0	0	0	0	2	2	0	0	0	0	3	5	1	1	0	0	14
java	0	0	0	0	0	0	6	0	0	0	0	69	0	0	0	6	0	0	0	0	0	3	0	2	0	0	0	3	0	1	4	0	0	3
jpg	0	0	0	0	2	0	0	0	1	0	2	0	71	0	0	0	2	0	1	2	3	0	0	0	13	0	0	0	0	0	0	2	0	0
kml	0	0	0	0	0	0	0	0	0	0	3	4	0	67	0	6	2	0	0	0	0	0	0	0	0	1	0	2	0	3	3	0	0	8
kmz	0	0	0	0	14	0	0	0	15	0	0	0	1	0	51	0	1	0	0	3	5	0	0	0	6	0	2	0	0	0	0	0	0	0
log	0	0	0	0	0	2	1	0	0	0	2	8	0	2	0	63	0	0	0	0	2	4	0	0	0	2	0	11	5	0	1	0	0	2
pdf	0	0	0	0	9	0	0	0	4	0	1	0	2	0	1	4	46	0	1	3	1	5	1	0	17	0	1	0	1	0	0	0	0	2
png	0	0	0	0	10	0	0	0	2	0	1	0	1	0	4	0	0	62	0	3	7	0	0	0	15	0	0	0	0	0	0	0	0	0
pps	0	0	15	0	7	0	0	0	12	0	0	0	2	0	0	0	1	0	3	14	12	0	0	0	24	0	1	1	0	0	0	2	4	0
ppt	0	0	11	1	3	0	0	0	12	1	0	0	1	0	1	0	3	3	7	11	9	0	0	0	26	0	0	0	0	0	0	3	7	0
pptx	0	0	1	7	5	0	0	0	14	0	0	0	2	0	0	0	1	2	3	10	18	0	0	0	38	0	0	0	0	0	0	1	0	0
ps	2	0	0	0	0	9	0	0	0	0	1	2	0	0	0	10	0	0	0	0	0	56	3	0	0	0	0	3	4	6	0	0	0	0
rtf	0	0	0	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	5	84	1	0	0	0	2	0	0	1	0	0	1
sql	1	0	0	0	0	0	14	0	0	2	5	11	0	0	0	7	0	0	0	0	2	2	0	22	0	0	5	8	19	2	4	0	0	0
swf	0	0	2	0	12	2	0	0	6	0	0	0	2	0	0	0	3	1	2	6	13	0	0	0	39	0	0	2	0	0	1	3	4	0
tex	0	0	0	0	0	0	2	0	0	0	3	3	0	5	0	7	0	0	0	0	0	0	1	6	0	57	0	7	1	1	4	0	0	2
text	1	0	15	0	4	0	8	7	1	0	0	2	0	0	1	2	0	2	0	3	0	5	1	1	5	0	12	8	8	6	7	0	2	0
tmp	0	0	0	2	0	0	0	0	0	2	3	1	0	0	0	5	2	0	2	0	4	5	0	11	0	0	0	49	5	7	4	0	0	1
troff	1	0	0	0	0	0	6	2	0	4	9	2	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	65	3	1	0	0	0
txt	3	0	0	0	0	0	7	4	0	4	1	5	0	0	0	5	1	0	0	0	0	4	0	2	0	1	5	10	14	26	15	0	0	0
unk	1	0	9	1	0	1	18	4	0	0	0	10	2	1	0	0	0	2	0	0	0	2	0	5	0	0	0	7	3	4	32	0	0	0
wp	0	0	1	0	9	1	0	0	0	3	1	0	0	0	1	0	0	2	2	2	1	0	0	0	4	0	0	1	0	1	1	60	4	0
xls	0	0	26	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	9	0	0	0	0	0	0	2	0	0	0	0	2	55	0
xml	0	0	0	0	0	0	4	0	0	0	4	2	0	19	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	63
