True	csv	doc	eps	gz	hlp	java	kml	pps	ppt	rtf	sql	tex	text	xls
csv	85	0	0	0	0	0	3	0	0	0	2	3	5	1
doc	0	22	0	0	1	0	0	9	7	1	0	0	10	51
eps	1	0	81	0	0	1	4	0	0	1	0	3	4	0
gz	0	0	0	69	0	0	0	23	12	0	0	0	0	0
hlp	1	1	1	0	75	7	0	0	0	2	6	3	6	0
java	13	0	3	0	0	66	3	0	0	3	10	5	0	0
kml	0	0	1	0	0	5	89	0	0	0	0	9	0	0
pps	0	7	0	21	0	0	0	33	23	0	1	0	1	11
ppt	0	6	0	20	0	0	0	25	21	0	0	0	5	22
rtf	2	0	5	0	0	0	0	0	2	85	0	4	1	1
sql	18	2	5	0	4	3	4	0	0	0	49	2	12	0
tex	4	0	2	0	2	3	1	0	0	7	1	75	2	0
text	4	6	16	2	2	0	2	7	6	0	2	1	40	14
xls	0	7	1	0	0	0	0	0	2	0	0	0	3	85
