True	csv	doc	dwf	f	java	jpg	kml	pptx	sql	swf	tex	text	tmp	txt	xls
csv	74	0	0	3	0	0	3	0	10	0	6	0	3	7	0
doc	0	23	0	3	1	1	0	4	3	2	0	4	0	2	69
dwf	0	0	85	0	0	0	0	2	0	8	0	0	0	0	0
f	3	0	0	41	2	0	3	0	11	0	2	8	1	27	0
java	1	0	0	13	69	0	6	0	2	0	1	0	3	1	0
jpg	0	2	3	0	0	60	0	7	1	12	0	3	2	0	1
kml	1	0	0	0	1	0	92	0	0	0	6	1	2	2	0
pptx	0	1	10	0	0	0	0	50	1	28	0	1	1	0	0
sql	1	0	0	6	2	0	5	2	61	0	2	2	0	19	0
swf	0	1	13	0	0	1	0	22	0	66	0	1	0	0	1
tex	1	0	0	1	0	0	2	0	4	0	79	0	4	9	0
text	1	20	0	8	0	0	0	11	2	1	0	28	7	15	10
tmp	7	2	0	4	1	0	5	0	8	0	4	3	49	11	0
txt	2	0	0	18	2	0	1	0	7	0	0	14	6	46	0
xls	0	13	0	0	0	1	0	0	0	1	0	0	0	0	92
