True	csv	doc	dwf	gz	html	java	kml	log	pdf	pps	pptx	ps	rtf	troff	txt	wp
csv	79	0	0	0	2	1	1	1	0	0	0	2	0	4	4	0
doc	1	86	1	1	0	2	0	0	0	3	4	1	0	0	0	3
dwf	0	0	75	4	0	0	0	0	1	8	8	0	0	0	0	0
gz	0	0	3	56	0	0	0	0	1	16	25	0	0	0	0	0
html	7	0	0	0	72	4	3	5	0	0	0	2	0	0	5	0
java	6	0	0	0	2	78	0	3	0	0	0	3	0	5	3	0
kml	2	0	0	0	5	5	77	5	0	0	0	0	0	0	0	0
log	3	0	0	0	9	11	7	55	0	0	0	9	0	4	5	0
pdf	0	0	8	8	1	0	0	1	38	13	18	7	0	1	1	0
pps	0	21	0	15	0	0	0	0	0	26	37	0	0	0	0	1
pptx	0	1	4	10	0	0	0	0	1	29	54	0	0	0	0	0
ps	1	0	0	1	3	1	0	1	2	0	0	81	2	1	10	0
rtf	0	1	0	0	0	1	0	0	0	2	0	3	97	0	1	0
troff	4	2	0	0	2	7	2	0	0	0	0	10	0	56	20	2
txt	9	0	0	0	2	14	2	6	0	0	0	4	0	13	51	0
wp	1	3	8	0	0	1	0	1	0	6	2	0	0	1	2	78
