True	doc	docx	eps	f	gif	gz	hlp	html	java	jpg	pdf	png	rtf	text	troff	unk	xls
doc	39	2	0	1	1	1	0	0	1	1	0	0	0	1	2	1	52
docx	0	86	0	0	0	7	0	0	0	0	0	2	0	0	0	0	1
eps	0	0	82	1	0	0	0	4	0	0	4	0	2	3	2	1	0
f	0	0	0	37	0	0	14	3	10	0	2	1	0	8	7	15	0
gif	3	4	0	0	71	3	0	0	0	0	8	6	0	7	0	0	0
gz	0	0	0	0	3	95	0	0	0	0	13	1	0	0	0	0	0
hlp	0	0	0	6	0	0	63	0	2	0	0	0	3	6	2	8	0
html	0	0	4	5	0	0	0	55	6	0	3	0	5	1	7	4	0
java	0	0	0	5	0	0	3	4	80	0	0	0	0	1	7	6	0
jpg	2	0	1	1	7	10	0	0	0	62	8	5	0	0	1	5	0
pdf	0	1	1	0	7	20	0	6	0	0	61	2	0	3	0	0	0
png	0	0	0	0	12	13	0	0	0	0	6	61	0	2	0	3	4
rtf	0	0	2	1	0	0	0	0	0	0	3	0	87	1	0	1	0
text	12	1	1	10	1	3	0	1	0	2	7	0	6	33	5	6	15
troff	0	0	4	11	0	0	1	8	8	0	1	0	0	4	58	4	0
unk	0	0	0	18	1	0	0	2	4	0	0	2	0	8	13	51	3
xls	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	87
