True	csv	dbase3	doc	docx	dwf	eps	f	hlp	html	ppt	pptx	sql	tex	text	troff	wp	xls	xml
csv	80	0	0	0	0	0	2	2	6	0	0	3	5	1	9	0	0	0
dbase3	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	70	2	1	0	1	1	1	6	5	1	0	0	1	3	3	0
docx	0	0	0	77	1	0	0	0	0	8	5	0	0	0	0	0	0	0
dwf	0	0	0	0	84	0	0	0	0	8	8	0	0	2	0	0	0	0
eps	2	0	0	0	0	65	1	1	4	0	0	1	2	4	0	5	0	11
f	0	0	0	0	0	0	46	2	15	0	0	18	0	8	10	2	0	3
hlp	0	0	0	0	0	0	9	68	0	0	0	3	0	5	4	14	0	0
html	3	0	1	0	0	1	3	0	67	0	0	4	5	1	4	0	0	18
ppt	0	0	26	0	1	0	0	0	0	29	33	1	0	1	0	5	5	0
pptx	0	0	1	10	2	0	0	0	0	31	57	0	0	0	0	0	0	0
sql	0	0	2	4	0	1	11	1	3	0	0	56	6	0	3	2	0	1
tex	2	0	0	0	0	0	6	3	2	2	0	4	73	1	3	0	0	2
text	1	0	28	1	0	3	25	0	0	8	3	11	2	14	4	1	0	1
troff	5	0	0	0	0	5	14	6	3	0	0	4	0	3	53	2	0	2
wp	0	0	3	1	3	0	1	0	0	5	2	1	0	1	0	80	0	0
xls	0	0	65	0	0	0	0	0	0	7	0	1	0	0	0	0	29	0
xml	1	0	0	0	0	4	1	0	16	0	0	3	4	0	3	0	0	79
