True	dbase3	doc	docx	dwf	f	fits	hlp	html	jpg	kml	kmz	png	ppt	ps	tex	text	troff	unk	xls
dbase3	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	48	2	0	1	2	0	0	2	0	1	0	4	2	1	0	0	1	34
docx	0	0	87	0	0	0	0	0	2	0	7	0	10	0	0	0	0	0	0
dwf	0	0	0	71	0	0	0	0	6	0	10	2	9	0	0	3	0	0	0
f	0	0	0	0	23	7	2	0	0	0	0	0	0	5	4	7	15	29	0
fits	0	0	0	3	4	79	0	0	9	0	0	2	1	1	0	6	0	8	1
hlp	0	0	0	0	9	0	56	1	0	0	0	0	0	0	0	6	1	20	0
html	0	0	0	0	2	2	0	75	0	8	0	0	0	2	13	2	3	1	0
jpg	0	4	0	7	0	0	0	0	67	0	2	5	12	0	0	1	0	0	2
kml	0	0	0	0	3	1	0	10	0	74	0	0	0	3	2	2	1	1	0
kmz	0	0	0	6	0	0	0	0	0	0	80	5	7	0	0	0	0	0	0
png	0	0	0	2	0	0	0	0	3	0	7	61	26	0	0	0	0	2	1
ppt	0	16	0	2	0	0	0	0	3	0	21	6	33	0	0	5	0	1	12
ps	0	0	0	0	5	3	0	5	0	3	0	0	0	74	3	4	1	5	0
tex	0	0	0	0	4	0	0	1	0	3	0	0	0	7	71	2	1	6	0
text	0	14	1	0	6	10	0	2	5	1	5	0	2	5	2	17	3	10	9
troff	0	0	0	0	10	2	2	7	0	0	0	0	0	9	0	8	38	21	0
unk	0	4	0	1	8	2	0	4	3	0	0	1	2	8	4	6	4	50	1
xls	0	22	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	77
