True	csv	dbase3	dwf	eps	f	fits	gz	kmz	pdf	png	pps	pptx	rtf	sql	tex	text	troff	txt	unk	wp
csv	82	0	0	1	1	0	0	0	0	0	0	0	0	3	6	1	0	3	1	0
dbase3	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	87	0	0	1	3	0	0	3	1	9	0	0	0	0	0	0	0	0
eps	0	0	0	71	1	2	0	0	3	0	0	0	6	2	7	1	2	4	2	0
f	11	0	0	0	28	3	0	0	0	0	0	0	0	9	5	2	7	15	21	0
fits	0	0	3	0	4	67	0	0	0	2	4	3	0	0	0	3	0	8	7	1
gz	0	0	3	0	0	1	67	0	4	0	4	24	0	0	0	0	0	0	0	0
kmz	0	0	13	0	0	0	17	47	1	2	1	12	0	0	0	0	0	0	0	2
pdf	3	0	3	3	0	0	9	0	52	2	5	16	0	0	2	0	3	0	2	0
png	2	0	3	0	0	0	5	2	1	70	5	12	0	0	0	2	0	0	0	1
pps	0	0	3	0	0	1	19	0	3	4	25	28	0	0	0	13	0	0	3	4
pptx	0	0	6	0	0	1	21	1	5	5	9	47	0	0	0	0	0	0	0	3
rtf	2	0	0	6	4	0	0	0	0	1	0	0	83	0	5	0	0	2	1	1
sql	4	0	0	0	15	0	0	0	0	0	0	6	1	43	12	4	10	3	4	0
tex	1	0	0	2	4	0	0	0	0	0	0	0	0	8	76	0	0	3	2	0
text	0	0	1	1	6	6	5	0	2	1	6	1	1	7	3	40	3	8	4	2
troff	5	0	0	2	7	1	0	0	1	0	0	0	0	8	5	5	49	6	9	0
txt	6	0	0	3	21	6	0	0	0	0	0	0	0	10	8	1	5	30	9	2
unk	7	0	0	5	17	3	2	0	0	0	1	2	2	6	4	7	3	4	39	1
wp	0	0	2	0	0	3	0	3	0	12	1	2	0	3	1	0	0	2	0	68
