True	csv	dbase3	docx	gif	hlp	html	java	jpg	pdf	png	pps	ppt	pptx	rtf	sql	swf	tex	text	unk	xls	xml
csv	68	0	0	0	1	9	1	0	0	0	0	0	0	1	10	0	7	1	4	0	0
dbase3	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	91	0	0	0	0	0	1	2	4	1	3	0	0	1	0	0	0	0	0
gif	0	0	2	71	0	0	0	2	3	11	3	1	1	0	0	5	0	2	0	1	0
hlp	1	0	0	0	82	0	0	0	0	0	0	0	0	0	6	0	0	4	4	0	0
html	0	0	0	0	1	88	1	0	3	0	0	0	0	0	0	0	1	1	2	0	6
java	0	0	0	0	11	0	57	0	0	0	0	0	0	1	6	0	1	4	16	0	2
jpg	0	0	0	3	0	0	0	74	3	1	2	0	4	0	0	8	0	2	1	0	0
pdf	1	0	0	3	1	1	0	0	67	2	9	0	6	0	0	8	0	5	3	0	2
png	0	0	0	10	0	0	0	7	4	54	3	1	16	0	0	6	0	0	0	0	0
pps	0	0	0	5	0	0	0	1	6	8	13	17	27	0	0	8	0	3	1	6	0
ppt	0	0	0	1	0	0	0	2	2	1	13	17	16	0	0	11	0	8	2	27	0
pptx	0	0	11	4	0	0	0	0	4	5	25	2	35	0	0	15	0	0	1	1	0
rtf	1	0	0	0	4	1	1	0	3	0	0	0	0	77	1	0	2	1	1	0	0
sql	5	0	3	0	3	13	6	0	0	0	0	0	0	0	50	0	1	11	11	0	0
swf	0	0	0	8	0	0	0	2	1	9	10	2	17	0	0	53	0	0	0	0	0
tex	1	0	0	0	1	1	6	0	0	0	0	0	0	0	4	0	76	6	4	0	1
text	1	0	3	1	2	5	2	0	0	0	1	1	3	0	5	2	4	39	11	11	0
unk	2	0	3	1	6	7	6	0	1	2	2	1	0	0	11	0	1	11	48	1	0
xls	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	4	0	8	1	85	0
xml	1	0	0	0	0	22	1	0	0	0	0	0	0	0	3	0	3	0	8	0	61
