True	csv	dbase3	doc	dwf	eps	fits	gif	gz	html	jpg	kmz	log	pdf	png	pps	ppt	rtf	sql	swf	tmp	wp	xml
csv	68	0	1	0	5	2	0	0	4	0	0	6	0	0	0	0	0	5	0	2	0	3
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	51	0	0	0	2	1	0	0	1	0	0	0	1	36	0	1	1	0	3	0
dwf	0	0	0	71	0	2	3	0	0	2	3	0	2	4	3	0	0	0	8	0	2	0
eps	0	0	0	0	85	0	0	0	1	0	0	4	1	0	1	0	4	1	0	0	0	1
fits	0	0	2	2	0	82	1	0	0	1	0	1	1	0	2	2	0	0	3	0	0	0
gif	0	0	0	2	0	0	80	0	0	0	0	0	5	0	0	1	0	0	13	0	0	0
gz	0	0	0	3	0	0	0	59	0	3	4	0	2	0	15	4	0	0	8	0	0	0
html	6	0	5	0	4	2	0	0	71	0	0	4	0	0	0	0	2	0	0	0	1	6
jpg	0	0	0	2	1	0	3	2	2	71	0	0	0	1	5	11	0	0	2	0	2	0
kmz	0	0	0	13	0	0	2	14	0	0	51	0	1	0	7	4	0	0	3	0	2	0
log	0	0	3	0	6	0	0	0	3	0	0	71	1	0	0	0	2	3	0	7	0	4
pdf	0	0	0	3	4	0	2	4	1	5	2	0	55	2	8	3	0	0	4	0	0	1
png	0	0	0	3	0	1	6	4	0	4	1	0	1	57	12	3	0	0	11	0	1	0
pps	0	0	8	6	0	0	1	16	0	4	1	0	0	1	16	24	0	0	19	0	7	0
ppt	0	0	8	2	0	1	3	11	0	2	1	0	0	2	19	44	0	0	9	0	2	0
rtf	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	1	92	1	0	0	0	2
sql	11	0	0	0	15	7	0	0	4	0	0	4	0	0	0	0	2	46	0	9	2	4
swf	0	0	1	4	0	0	4	4	0	5	2	0	2	3	13	22	0	0	34	0	6	0
tmp	1	0	2	0	9	3	0	0	5	0	0	10	1	1	0	2	0	12	0	51	2	2
wp	0	0	4	3	0	4	1	0	0	0	0	0	1	3	0	5	1	1	1	1	80	0
xml	1	0	0	0	2	0	0	0	12	0	0	5	2	0	0	0	0	0	0	0	0	77
