True	dbase3	doc	docx	dwf	eps	f	hlp	html	java	kml	kmz	log	pps	ppt	ps	swf	tex	text	tmp	troff	txt	unk	xls
dbase3	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	18	6	1	0	0	1	1	0	0	1	1	6	4	0	2	1	4	1	0	0	3	49
docx	0	0	85	2	0	0	0	0	0	0	1	0	5	1	0	2	0	0	0	0	0	0	0
dwf	0	0	0	79	0	0	0	0	0	0	2	0	2	3	0	10	0	3	0	0	0	0	1
eps	0	0	0	0	68	1	0	1	1	1	0	0	0	0	30	0	2	0	0	0	0	0	0
f	0	0	0	0	3	41	2	3	7	0	0	5	0	0	4	0	3	1	0	7	8	16	0
hlp	0	0	0	0	0	8	72	0	6	0	0	0	0	0	0	0	1	0	4	0	0	10	0
html	0	0	0	0	2	1	2	58	3	12	0	5	0	0	2	0	0	1	12	0	0	1	0
java	0	0	0	0	0	2	1	2	66	1	0	11	0	0	1	0	3	0	0	3	0	5	0
kml	0	0	0	0	0	0	0	12	3	79	0	3	0	0	1	0	3	0	0	0	0	0	0
kmz	0	0	0	23	0	0	0	0	0	0	61	0	12	1	0	3	0	0	0	0	0	0	0
log	0	0	0	0	1	1	0	4	3	4	0	59	0	0	8	0	7	0	4	2	1	1	0
pps	0	5	0	3	0	0	0	0	0	0	12	0	30	17	0	15	0	2	0	0	0	3	12
ppt	0	6	2	2	0	0	0	0	0	0	8	0	19	25	0	14	0	0	1	0	0	2	24
ps	0	0	0	0	14	0	0	0	5	0	0	13	0	0	64	0	0	0	2	0	1	0	0
swf	0	0	1	8	1	1	0	1	0	0	5	0	20	9	0	43	0	3	1	0	1	0	4
tex	0	0	0	0	1	3	0	2	2	3	0	4	0	0	1	0	83	0	0	0	2	0	0
text	0	11	1	2	2	9	0	3	2	0	1	3	2	2	3	3	2	18	6	1	13	5	13
tmp	0	2	1	0	2	1	0	7	4	0	0	13	0	0	6	0	0	6	48	3	3	0	1
troff	1	0	0	0	1	15	7	1	3	0	0	8	0	0	4	0	1	4	5	45	2	5	0
txt	0	0	0	0	6	31	6	4	6	4	0	8	0	0	1	0	2	3	4	4	15	8	0
unk	0	1	0	0	0	18	1	2	13	0	0	3	0	0	4	0	4	2	4	2	4	37	5
xls	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	2	88
