True	csv	dbase3	docx	dwf	eps	f	fits	hlp	jpg	log	pdf	png	pptx	rtf	sql	swf	tex	text	tmp	troff	txt	unk	xls	xml
csv	64	0	0	0	2	7	1	1	0	5	0	0	0	1	0	0	2	2	3	3	7	0	0	0
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	59	0	0	0	0	0	1	0	0	1	36	0	0	3	0	0	0	0	0	0	0	0
dwf	0	0	0	77	0	0	1	0	7	0	3	0	12	0	0	3	0	3	0	0	0	0	0	0
eps	2	0	1	0	63	1	4	0	0	7	0	0	1	1	0	0	0	1	2	0	9	1	0	5
f	9	0	0	0	2	32	5	4	0	8	0	0	0	1	4	0	0	0	2	9	10	14	1	3
fits	0	0	0	0	1	7	75	0	1	2	1	4	0	0	0	2	0	4	0	0	3	5	2	0
hlp	0	0	0	0	0	9	0	62	0	0	0	0	0	4	2	0	0	2	0	0	6	11	0	1
jpg	0	0	0	0	0	0	2	0	80	0	1	1	11	0	0	2	0	0	0	0	0	3	2	0
log	0	0	0	0	5	2	2	1	0	52	3	0	0	0	0	0	3	2	7	3	2	5	0	5
pdf	0	0	0	4	1	0	2	0	4	1	54	1	21	2	0	6	0	1	0	1	0	2	0	2
png	0	0	0	5	0	0	0	0	3	0	3	58	22	0	0	3	0	2	0	0	0	0	0	0
pptx	0	0	13	2	0	0	1	0	9	0	2	3	55	1	0	13	0	0	0	0	0	0	0	0
rtf	0	0	0	0	6	0	1	1	0	3	0	0	0	88	0	0	0	0	0	2	0	2	0	3
sql	3	0	0	0	7	22	0	0	0	6	1	0	0	0	25	0	2	0	7	3	4	11	1	3
swf	0	0	0	5	0	0	2	0	8	0	0	5	42	0	0	34	0	0	0	0	0	1	0	0
tex	2	0	0	0	2	3	0	0	0	15	0	0	0	2	3	0	59	0	0	0	1	3	0	5
text	0	0	0	0	3	9	6	1	4	3	0	1	7	1	4	2	0	28	0	5	4	7	15	2
tmp	0	0	2	0	1	0	5	0	0	11	7	0	0	0	3	0	2	3	53	4	2	4	2	2
troff	3	0	0	0	6	9	1	2	0	4	2	0	0	1	4	0	1	8	2	50	5	4	0	1
txt	5	0	0	0	3	16	10	3	0	1	2	0	0	0	2	0	0	18	0	8	24	10	0	0
unk	1	0	0	0	4	7	6	3	0	3	1	2	1	1	0	2	0	4	2	4	10	38	7	1
xls	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	3	0	0	0	0	92	0
xml	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	1	0	2	0	0	0	0	83
