True	csv	docx	dwf	eps	fits	gif	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	sql	tex	text	tmp	troff	txt	wp	xls	xml
csv	74	0	0	0	0	0	4	3	0	2	0	5	0	0	0	0	0	0	4	0	0	2	7	2	0	0	0
docx	0	93	0	0	0	0	0	0	0	0	3	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0
dwf	0	1	79	0	0	0	0	0	1	0	3	0	0	1	6	2	1	0	0	0	0	0	0	0	0	0	0
eps	1	2	0	66	1	0	0	0	0	0	0	4	0	0	0	0	0	11	1	2	0	1	0	6	0	0	3
fits	0	0	0	2	82	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	2	3	1	0	2	0
gif	0	0	3	0	3	70	2	0	3	0	0	0	3	11	2	1	0	0	0	0	0	0	0	0	0	2	0
html	2	0	0	1	1	0	68	3	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	16
java	0	0	0	0	2	0	3	80	0	0	0	9	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2
jpg	0	2	6	1	2	3	1	0	60	0	0	1	2	3	6	2	4	0	0	0	0	0	0	0	2	0	0
kml	0	0	0	0	0	0	5	1	0	79	0	5	0	0	0	0	0	0	0	0	3	0	0	2	0	0	6
kmz	0	5	12	0	0	4	0	0	0	0	56	0	0	13	4	2	6	0	0	0	0	0	0	0	2	0	0
log	0	0	0	3	3	0	3	6	0	4	0	56	0	0	0	0	0	3	5	2	1	3	5	2	0	0	6
pdf	2	3	1	2	3	8	3	0	0	1	6	1	50	6	6	1	3	5	0	0	0	0	0	0	0	0	0
png	0	2	6	0	0	6	0	0	3	0	2	0	3	58	6	3	8	0	0	0	0	0	0	0	1	0	0
pps	0	6	5	0	0	5	0	0	3	0	4	0	6	14	12	17	11	0	0	0	6	0	0	0	0	12	0
ppt	0	4	3	0	1	3	0	0	1	0	3	0	2	11	12	12	15	0	0	0	5	1	0	0	6	22	0
pptx	0	17	7	0	1	6	0	0	3	0	3	0	9	10	16	7	23	0	0	0	0	1	0	0	0	1	0
ps	2	2	0	33	0	0	1	4	0	1	0	9	1	0	0	0	0	42	0	0	0	2	2	3	0	0	1
sql	5	0	0	4	0	0	6	8	0	0	0	3	0	0	0	0	0	2	47	0	5	7	5	5	0	0	0
tex	0	0	0	3	0	0	4	4	0	1	0	9	0	0	0	0	0	0	6	60	3	0	0	2	1	0	6
text	1	2	1	4	6	5	4	1	0	0	0	2	3	3	0	1	3	5	6	1	16	2	7	10	0	16	0
tmp	0	0	0	1	3	4	3	3	0	0	0	11	0	0	0	0	0	5	8	0	1	47	1	6	1	1	2
troff	4	0	0	3	3	0	4	12	0	0	0	1	0	0	0	0	0	4	8	0	4	0	49	11	0	0	0
txt	3	0	0	10	9	1	6	4	0	0	0	2	0	0	0	0	0	4	11	0	11	3	8	27	1	0	0
wp	0	0	0	0	8	2	0	2	5	0	0	0	0	10	1	1	0	0	2	0	0	2	1	0	68	1	0
xls	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	90	0
xml	0	0	0	3	0	0	3	2	0	9	0	6	0	0	0	0	0	0	1	1	0	0	1	1	0	0	75
