True	csv	dbase3	docx	dwf	eps	f	fits	gif	hlp	html	jpg	kml	log	pdf	png	pps	ppt	ps	rtf	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	45	0	0	0	0	4	0	0	1	11	0	6	1	0	0	0	0	0	1	0	5	2	11	6	3	3	0	0	0
dbase3	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
docx	0	0	86	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	4	0	0	0	0	0	0	2	0	0
dwf	0	0	0	82	0	0	0	0	0	0	0	0	0	1	3	4	1	0	0	12	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	67	0	1	0	0	2	0	0	2	2	0	0	0	9	4	0	0	1	3	1	6	0	0	0	0
f	9	0	0	0	0	34	10	0	3	0	0	0	7	0	0	0	0	1	0	0	2	9	0	2	2	20	0	0	1
fits	0	0	0	0	0	0	70	2	0	0	4	0	0	1	5	2	0	0	1	6	0	5	0	0	2	3	1	2	0
gif	0	0	0	2	0	0	1	64	0	0	3	0	0	0	7	0	1	0	0	10	0	5	0	0	0	0	3	0	0
hlp	2	0	0	0	0	6	0	0	79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	10	1	0	0
html	1	0	0	0	1	1	4	0	0	65	0	1	0	0	0	0	0	2	0	0	1	0	2	3	0	6	0	0	5
jpg	0	0	0	1	0	0	0	5	0	0	68	0	0	0	4	2	1	0	0	11	0	3	0	0	0	0	4	0	0
kml	0	0	0	0	0	0	0	0	0	1	0	70	3	0	0	0	0	0	0	0	0	1	1	0	7	0	0	0	15
log	0	0	0	0	3	0	2	0	1	3	0	6	50	0	0	0	0	6	2	0	6	4	4	3	1	6	0	0	5
pdf	0	0	0	2	0	0	0	5	0	0	5	2	0	47	4	5	0	8	1	17	0	1	1	0	0	1	1	0	0
png	0	0	1	3	0	0	0	6	0	0	0	0	0	0	68	3	1	0	0	13	0	3	0	0	0	0	6	0	0
pps	1	0	2	0	0	0	0	2	0	0	2	0	0	1	10	19	7	0	1	26	0	10	0	0	0	2	10	8	0
ppt	0	0	1	2	0	0	0	5	0	0	3	0	0	1	17	14	16	0	2	18	0	3	0	0	0	1	10	9	0
ps	4	0	0	0	15	2	3	0	0	2	0	2	6	1	0	2	0	52	0	0	0	1	1	0	6	1	0	0	0
rtf	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	7	81	0	2	1	0	0	0	2	1	0	0
swf	0	0	1	1	0	0	1	1	0	0	1	0	0	1	17	7	1	0	0	61	0	1	0	0	0	2	1	0	0
tex	0	0	0	0	0	2	0	0	2	6	0	9	0	0	0	0	0	0	4	0	72	0	4	0	0	7	2	0	1
text	0	0	1	0	2	8	12	2	0	0	0	0	2	0	5	0	1	4	0	3	0	25	1	4	8	2	6	13	0
tmp	0	0	8	0	1	2	2	2	2	0	0	0	6	0	0	0	0	2	0	0	0	17	44	1	7	1	4	0	2
troff	7	0	0	0	0	15	2	0	2	1	0	0	0	0	0	0	0	2	0	0	0	9	2	50	1	4	0	0	0
txt	2	0	0	0	0	10	14	0	6	0	0	0	2	0	0	0	0	1	1	0	4	12	7	3	25	17	3	0	0
unk	2	0	2	0	5	16	14	1	0	4	0	0	1	0	2	0	3	2	0	0	0	3	2	3	9	19	3	2	1
wp	0	1	0	0	0	1	1	0	1	1	1	0	0	0	13	1	1	0	1	1	0	0	0	0	1	7	70	0	0
xls	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	2	0	0	4	0	4	0	0	0	0	3	86	0
xml	0	0	0	0	1	2	0	0	0	13	0	19	1	0	0	0	0	3	0	0	3	0	2	0	0	1	0	0	55
