True	csv	dbase3	doc	dwf	eps	f	fits	gif	gz	hlp	html	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	tex	text	tmp	troff	txt	unk	wp	xls
csv	68	0	0	0	0	4	0	0	0	2	4	0	1	0	2	1	0	0	0	3	0	7	5	0	0	3	1	0	0	0
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	48	0	0	4	0	3	0	1	0	0	0	1	0	0	2	5	7	0	1	0	0	1	0	0	0	0	0	24
dwf	0	0	0	83	0	0	0	0	3	0	0	0	0	1	0	2	3	4	6	0	0	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	71	1	0	0	0	0	4	0	0	0	3	3	0	0	1	7	0	1	1	0	1	0	3	0	0	0
f	2	0	0	0	0	35	5	0	0	4	0	0	3	0	7	0	0	0	0	0	0	3	0	1	3	6	14	15	0	0
fits	0	0	0	1	0	1	72	3	2	0	0	2	0	0	0	6	1	0	4	0	0	0	0	0	0	0	3	1	1	0
gif	0	0	4	4	0	0	0	64	0	0	0	1	0	0	0	11	5	4	3	0	0	0	0	1	2	0	0	0	2	0
gz	0	0	0	2	0	0	0	1	47	0	0	0	0	6	0	8	5	18	8	0	0	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	16	0	0	0	52	0	0	0	0	0	0	0	0	0	0	2	3	0	3	0	3	5	8	2	0
html	1	0	0	0	0	9	1	0	0	1	81	0	4	0	3	0	0	0	0	2	0	4	2	0	0	0	0	3	0	0
jpg	0	0	3	2	0	0	1	2	0	0	0	61	0	0	0	4	6	10	6	0	0	0	0	1	0	0	0	0	2	2
kml	0	0	0	0	0	0	0	0	0	0	3	0	79	0	9	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0
kmz	0	0	0	12	0	0	0	0	4	0	0	0	0	57	0	1	9	14	5	0	0	0	0	2	0	0	0	0	2	0
log	4	0	2	0	4	2	0	0	0	0	3	0	3	0	63	1	0	0	0	4	2	5	5	0	0	0	2	4	0	0
pdf	0	0	0	0	1	0	0	2	10	0	1	0	1	7	1	64	0	11	3	0	0	0	0	1	0	0	0	0	0	0
png	0	0	0	2	0	0	1	3	4	0	0	1	0	1	0	3	68	8	6	0	0	0	0	0	0	0	0	0	3	0
pps	0	0	5	2	0	0	3	3	12	0	0	0	0	3	0	10	5	21	24	0	0	0	0	0	0	0	0	0	1	11
ppt	0	0	15	3	0	0	0	4	11	0	0	0	0	3	0	10	3	18	23	0	0	0	0	3	0	0	0	0	3	9
ps	0	0	0	0	27	0	2	0	3	0	1	0	0	0	8	6	0	0	0	48	0	0	0	0	0	2	2	0	0	0
rtf	0	0	1	0	3	1	0	0	0	2	2	0	0	0	1	0	0	0	0	5	93	0	2	0	0	0	2	0	0	0
sql	10	0	0	0	4	10	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	36	4	1	13	8	5	4	0	0
tex	0	0	0	0	2	4	0	0	0	5	2	0	2	0	7	0	0	0	0	0	2	1	74	0	1	0	2	1	0	0
text	0	0	17	0	0	9	11	0	2	0	2	0	1	1	1	2	0	0	2	1	1	8	2	14	5	9	7	2	2	4
tmp	2	0	2	0	2	3	3	0	0	3	5	0	3	0	8	0	0	0	1	0	1	0	2	1	43	6	4	3	0	0
troff	0	0	0	0	2	9	0	0	0	4	1	0	0	0	3	1	0	0	0	2	0	1	0	2	0	60	10	1	0	0
txt	3	0	1	0	6	11	10	0	0	4	2	0	0	0	4	0	0	0	0	4	0	0	3	3	4	6	29	8	0	0
unk	0	0	3	0	0	18	11	1	1	4	1	0	0	0	1	0	1	0	0	1	2	3	2	2	0	3	11	22	2	3
wp	0	0	2	4	0	2	1	1	0	1	0	1	0	1	0	0	5	0	2	0	1	0	0	2	1	1	0	0	74	1
xls	0	0	14	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	80
