True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	java	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xml
csv	77	0	0	0	0	1	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	3	4	2	2	3	2	0	0
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	77	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	6	6	0	0	0	3	0	0	0	1	0	1	10	0
docx	0	0	0	72	1	0	0	0	0	12	0	0	0	0	2	0	0	2	1	1	0	0	0	3	0	0	0	0	0	0	1	0
dwf	0	0	0	0	72	0	0	1	3	4	0	0	5	0	1	0	3	2	2	1	0	0	0	7	0	0	0	0	0	0	1	0
eps	2	0	0	0	0	77	1	2	0	0	0	0	0	0	0	0	2	0	0	0	9	1	0	0	0	0	0	0	2	1	0	2
f	0	0	1	0	0	0	38	6	0	0	8	0	0	0	0	1	0	0	0	0	0	2	8	0	0	2	3	11	12	7	4	2
fits	0	0	3	0	2	0	3	67	2	0	1	0	1	0	0	0	2	1	0	2	0	0	0	6	0	4	0	0	5	2	0	0
gif	0	0	1	2	2	0	0	0	66	0	0	0	1	0	1	0	3	2	3	5	0	0	0	11	0	0	0	0	0	1	4	0
gz	0	0	0	0	2	0	0	0	0	53	0	0	4	0	10	0	2	1	13	9	0	0	0	8	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	4	0	0	0	69	0	0	0	0	0	0	0	0	0	0	2	2	0	0	6	0	1	2	2	6	0
java	1	0	0	0	0	0	5	0	0	0	5	54	0	1	0	5	0	0	0	0	0	1	1	0	3	0	0	3	10	2	0	3
jpg	0	0	0	0	0	0	0	0	2	1	0	0	70	0	1	0	1	4	2	9	0	0	0	4	0	0	0	0	0	1	7	0
kml	0	0	0	0	0	3	0	0	0	0	0	2	0	71	0	3	0	0	0	0	2	0	0	0	0	2	0	0	1	2	0	14
kmz	0	0	0	0	14	0	0	0	1	14	0	0	0	0	52	0	1	2	7	12	0	0	0	3	0	0	0	0	0	0	1	0
log	2	0	0	0	0	9	3	1	0	0	0	2	0	2	0	56	0	0	0	0	10	0	2	0	3	0	1	6	0	4	0	2
pdf	0	0	0	0	3	0	0	3	2	4	0	0	2	0	7	2	60	0	0	7	10	0	0	6	0	0	0	0	0	0	0	1
png	0	0	2	0	9	0	0	0	2	4	0	0	3	0	2	0	1	43	6	13	0	0	0	9	0	0	0	0	0	0	6	0
pps	0	0	13	0	1	0	0	0	3	13	0	0	3	0	4	0	1	2	6	22	0	1	0	19	0	0	0	0	0	0	2	0
ppt	0	0	19	1	3	0	0	2	6	6	0	0	1	0	5	0	2	4	11	17	0	0	0	16	0	0	0	0	0	0	4	0
ps	4	0	0	0	0	20	0	2	0	0	0	3	0	0	2	1	6	0	0	0	44	6	0	0	1	3	0	1	2	2	0	1
rtf	0	0	0	0	0	5	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	88	0	0	1	0	0	0	0	0	0	0
sql	0	0	2	0	0	9	14	0	0	0	10	0	0	0	0	5	0	0	0	0	1	0	31	0	2	5	4	4	3	6	0	2
swf	0	0	0	0	2	1	0	0	0	8	0	0	1	0	2	0	3	2	7	11	0	0	0	57	0	0	0	0	0	0	5	0
tex	0	0	0	0	0	3	4	0	0	0	1	5	0	0	0	12	0	0	0	0	0	3	2	0	54	0	0	0	4	3	0	3
text	0	0	20	0	2	2	7	8	2	1	0	0	0	0	0	1	0	0	1	2	2	0	2	4	0	14	0	17	5	8	5	0
tmp	1	0	0	5	0	4	5	2	2	0	3	0	0	0	0	3	6	0	1	1	3	1	6	0	1	6	37	0	6	0	2	4
troff	3	0	0	0	0	3	16	0	0	0	4	4	0	0	0	1	5	0	0	0	5	0	4	0	0	2	0	42	6	3	0	1
txt	2	0	0	0	0	2	9	10	0	0	3	0	0	0	0	0	2	0	0	0	1	1	1	0	1	9	3	7	29	8	3	0
unk	2	0	4	2	0	1	5	11	0	0	4	3	0	1	2	0	0	2	2	3	4	2	2	0	2	2	3	3	12	24	3	1
wp	0	0	1	1	2	0	2	0	0	0	0	0	2	0	3	0	0	2	0	3	0	0	1	3	0	0	0	0	0	3	78	0
xml	0	0	0	0	0	2	2	0	0	0	0	0	0	12	0	3	4	0	0	0	3	0	0	0	4	0	0	3	0	0	0	68
