True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	text	tmp	troff	txt	wp	xls	xml
csv	66	0	0	0	0	0	2	0	0	0	0	5	3	0	0	0	3	0	0	0	0	0	0	0	5	0	0	4	3	5	0	0	0
dbase3	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
doc	0	0	88	0	0	0	0	0	1	0	2	0	4	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	1	3	0
docx	0	0	0	82	0	0	0	0	0	6	0	0	0	0	0	1	0	0	2	1	0	6	0	0	0	5	0	0	0	0	0	0	0
dwf	0	0	0	0	81	0	0	0	0	11	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	4	1	0	0	0	0	0	0
eps	1	0	0	1	0	57	0	0	0	1	0	2	1	0	0	0	0	1	0	0	2	0	14	1	1	0	2	1	0	11	0	0	3
f	6	0	0	0	0	0	20	1	0	0	2	4	13	0	2	0	3	0	0	0	0	0	1	2	11	0	0	0	10	19	0	0	0
fits	0	0	2	0	1	1	3	69	5	1	0	0	0	4	0	0	0	0	1	0	1	2	2	0	0	5	1	0	0	2	1	0	0
gif	0	0	0	6	9	0	0	1	58	0	0	0	0	3	0	0	0	0	2	0	3	3	0	0	0	4	0	0	0	0	1	0	0
gz	0	0	0	0	3	0	0	0	3	56	0	0	0	0	0	2	0	1	0	2	1	25	0	0	0	7	0	0	0	0	0	0	0
hlp	1	0	0	0	0	0	3	2	0	0	72	0	4	0	0	0	1	0	0	0	0	0	0	1	8	0	2	0	1	6	2	0	0
html	2	0	0	0	0	0	1	2	0	0	0	68	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	15
java	0	0	0	0	0	1	5	0	0	0	0	4	73	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	5	0	0	4
jpg	0	0	5	0	3	0	0	0	0	2	0	0	0	66	0	1	2	0	0	3	0	13	0	0	0	11	2	0	0	0	2	0	0
kml	0	0	0	0	0	0	0	0	0	0	0	5	3	0	82	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	15
kmz	0	0	0	0	17	0	0	0	0	13	0	0	0	0	0	39	0	1	5	1	3	18	0	0	0	3	0	0	0	0	0	0	0
log	1	0	0	0	0	0	0	0	0	0	4	5	5	0	2	0	51	3	0	0	0	0	6	2	7	0	1	6	2	1	1	0	6
pdf	0	0	0	0	5	1	0	1	7	5	0	0	1	1	0	2	1	43	0	1	0	14	1	0	0	14	0	0	1	0	0	0	0
png	0	0	0	0	3	0	0	0	9	4	0	0	0	0	0	1	0	0	53	2	1	12	0	0	0	13	0	0	0	0	7	0	0
pps	0	0	25	0	2	0	0	0	3	11	0	0	0	0	0	3	0	0	3	3	4	30	0	0	0	14	0	0	0	0	3	0	0
ppt	0	0	41	0	3	1	0	0	2	6	0	0	0	1	0	1	0	0	4	2	3	29	0	0	0	11	1	0	0	0	1	2	0
pptx	0	0	0	10	3	0	0	1	7	13	0	1	0	2	0	1	0	0	0	3	3	30	0	0	0	15	0	0	0	0	2	0	0
ps	0	0	0	0	0	18	1	0	0	0	0	1	0	0	1	0	6	2	0	0	0	0	61	1	0	0	0	1	2	7	0	0	1
rtf	0	0	0	0	0	4	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	3	81	0	0	2	0	0	1	0	1	0
sql	4	0	0	0	0	0	10	0	0	0	3	10	9	0	0	0	2	1	0	0	0	0	0	0	43	0	0	1	2	5	0	0	0
swf	0	0	0	0	7	0	1	0	10	7	0	0	0	0	0	0	0	0	4	3	5	20	0	0	0	37	1	0	0	0	3	2	0
text	0	0	17	1	0	0	5	7	1	1	1	0	4	1	1	0	0	1	0	2	0	3	1	1	8	1	14	2	6	14	1	1	0
tmp	3	0	1	0	0	1	5	1	0	0	1	2	0	0	3	0	4	3	0	0	0	0	2	0	7	0	0	54	0	10	0	0	1
troff	0	0	0	0	0	0	4	2	0	0	3	3	13	0	0	0	5	0	0	0	0	0	0	0	15	0	0	2	50	9	2	0	0
txt	6	0	0	0	1	0	16	10	0	0	4	1	7	0	1	0	0	2	0	0	0	0	2	1	6	0	0	2	6	39	3	0	0
wp	0	0	5	0	6	0	0	2	1	0	1	0	0	2	0	0	0	0	6	0	0	2	0	0	1	1	1	1	1	1	64	0	0
xls	0	0	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	52	0
xml	1	0	0	0	0	0	1	0	0	0	1	9	4	0	4	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	70
