True	doc	eps	gif	gz	hlp	jpg	kml	log	pptx	swf	tex	troff	unk	xml
doc	65	1	9	1	1	9	0	2	3	1	1	1	0	1
eps	0	68	0	0	0	1	10	13	1	1	3	1	0	2
gif	0	0	89	0	0	4	0	0	2	9	0	0	0	0
gz	0	0	0	90	0	0	0	0	2	12	0	0	0	0
hlp	0	0	0	0	71	2	0	5	0	0	9	4	10	1
jpg	3	0	4	4	0	70	0	1	4	14	0	0	0	0
kml	0	0	0	0	0	0	77	7	0	0	2	0	0	12
log	0	3	0	0	0	0	8	74	0	0	1	8	1	9
pptx	0	0	12	33	0	9	0	0	24	19	0	0	0	0
swf	2	2	3	28	0	8	0	0	13	46	0	1	0	0
tex	0	2	0	0	2	0	3	6	0	0	78	0	1	1
troff	0	2	0	0	3	0	1	14	0	0	2	76	3	3
unk	2	7	4	0	2	3	4	18	0	0	8	9	37	0
xml	0	3	0	0	0	0	12	12	0	0	0	0	1	74
