True	dwf	eps	f	fits	gif	gz	html	jpg	pdf	pptx	ps	rtf	tmp	unk	wp
dwf	90	0	0	0	0	3	0	1	2	5	0	0	0	0	0
eps	2	76	0	0	0	0	0	0	1	0	15	6	4	1	0
f	0	0	56	11	0	0	3	0	1	0	3	2	4	23	0
fits	9	0	3	69	1	0	0	2	0	4	2	0	3	9	1
gif	4	0	0	2	69	0	0	3	7	10	0	0	0	3	2
gz	3	0	0	0	1	70	0	1	2	27	0	0	0	0	0
html	0	3	4	0	0	0	72	0	2	0	5	1	4	3	0
jpg	0	0	0	0	5	2	0	62	3	20	2	0	0	2	3
pdf	4	0	1	1	2	13	2	0	56	12	8	1	0	1	0
pptx	5	0	0	0	4	30	0	4	3	44	0	0	4	4	3
ps	0	10	2	3	0	0	3	0	3	0	73	1	2	1	0
rtf	0	0	2	0	0	0	0	0	0	1	5	86	2	4	0
tmp	0	2	13	0	0	0	9	0	0	0	5	0	68	5	0
unk	2	1	23	3	0	0	7	1	0	1	3	0	3	51	2
wp	11	1	1	1	0	0	0	2	0	4	1	3	2	6	60
