True	csv	dbase3	doc	f	fits	gif	html	java	jpg	log	pptx	ps	rtf	sql	swf	txt
csv	61	0	0	9	0	0	9	1	0	14	0	3	2	2	0	0
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	86	0	0	0	1	0	3	4	4	0	0	0	3	1
f	4	0	0	27	5	0	5	8	1	14	0	1	3	15	0	19
fits	0	0	1	2	77	1	0	0	5	1	4	1	0	0	7	2
gif	0	0	5	0	5	68	0	0	3	0	10	0	0	0	5	0
html	0	0	0	1	0	0	89	0	0	9	0	0	0	2	0	0
java	0	0	0	3	0	0	0	72	0	18	0	0	0	4	0	4
jpg	0	0	2	0	4	7	0	0	67	2	11	0	0	0	6	0
log	0	0	2	0	0	0	1	0	0	96	0	2	3	0	0	0
pptx	0	0	3	0	0	3	0	0	9	0	69	0	3	0	11	0
ps	1	0	0	0	1	0	10	1	0	14	0	65	7	0	0	0
rtf	0	0	1	0	0	0	2	4	0	0	0	7	84	1	0	0
sql	2	0	4	15	0	0	9	3	0	21	0	4	2	30	0	7
swf	0	0	0	1	3	0	0	0	8	0	48	0	0	0	36	0
txt	0	0	0	16	7	0	1	4	1	23	0	7	3	3	0	36
