True	dbase3	doc	docx	hlp	html	java	jpg	kmz	log	png	ps	rtf	sql	tex	text	troff	xls	xml
dbase3	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	50	3	1	1	1	1	2	1	4	0	0	0	0	1	0	38	0
docx	0	0	95	0	0	0	1	5	0	2	0	0	0	0	1	0	0	0
hlp	0	0	0	77	0	6	0	0	2	0	0	0	5	0	5	0	0	0
html	0	0	0	3	59	2	0	0	5	0	4	0	1	2	3	2	0	8
java	0	1	0	4	0	75	0	0	13	0	0	0	2	1	1	0	1	3
jpg	1	6	1	0	3	0	64	1	0	14	0	0	0	0	0	0	3	0
kmz	0	0	3	0	0	0	0	67	0	27	0	0	0	0	1	0	0	0
log	0	0	0	4	5	3	0	0	60	0	2	0	0	8	2	3	0	8
png	0	3	2	0	0	0	5	11	0	71	0	0	0	0	2	0	0	0
ps	0	1	0	0	9	2	0	2	16	0	57	3	5	0	6	1	0	0
rtf	0	0	0	3	0	0	0	0	1	0	11	77	1	5	0	0	2	0
sql	0	0	0	6	3	3	0	0	9	0	2	0	49	9	18	3	0	4
tex	0	0	0	4	0	4	0	0	11	0	0	0	3	75	2	0	0	1
text	0	26	2	4	4	4	0	2	5	3	0	3	2	5	40	4	6	0
troff	0	1	0	10	3	9	0	0	2	0	4	0	1	2	21	52	0	0
xls	0	23	0	0	0	0	2	0	0	2	0	0	0	0	4	0	73	0
xml	0	0	0	0	7	6	0	0	16	0	0	0	0	2	0	0	0	71
