True	dbase3	eps	f	gif	gz	html	java	jpg	kml	log	pdf	png	pps	ppt	pptx	ps	text	troff	unk	xls
dbase3	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eps	0	69	0	0	0	1	0	0	0	2	1	0	2	0	0	20	2	0	0	0
f	1	1	46	0	0	1	3	0	1	9	0	0	0	0	0	2	7	7	19	0
gif	0	0	0	73	2	0	0	5	0	0	4	9	4	1	3	0	2	0	2	0
gz	0	0	0	0	42	0	0	0	0	0	3	0	13	0	31	0	0	0	0	0
html	0	2	5	0	0	59	0	0	6	14	1	0	0	0	0	1	1	2	3	0
java	0	0	2	0	0	1	69	0	6	23	0	0	0	0	0	0	0	1	4	0
jpg	0	0	0	1	0	0	0	63	0	0	1	2	2	2	18	0	5	0	0	2
kml	0	0	1	0	0	3	1	0	91	6	0	0	0	0	0	0	0	0	0	0
log	0	8	3	0	0	0	0	0	5	67	2	0	0	0	0	6	1	7	2	0
pdf	0	2	0	1	6	0	0	2	0	1	57	2	4	0	17	6	0	0	0	0
png	0	0	0	9	1	0	0	1	0	0	0	72	4	1	20	0	0	0	0	0
pps	1	1	0	2	8	0	0	1	0	0	0	3	14	17	40	0	1	0	0	17
ppt	0	0	0	0	6	0	0	2	0	0	2	2	11	15	33	0	0	0	1	26
pptx	0	0	0	2	13	0	0	6	0	0	2	6	7	3	57	0	1	0	1	2
ps	0	22	1	0	0	0	2	0	0	3	2	0	0	0	0	71	4	0	0	0
text	0	5	4	1	3	0	0	1	0	3	0	0	2	6	5	4	21	14	11	17
troff	0	1	6	0	0	0	2	0	0	6	0	0	0	0	0	3	1	65	9	0
unk	0	8	8	0	1	5	6	2	2	2	2	3	0	2	2	4	7	11	32	0
xls	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	100
