True	csv	dbase3	doc	eps	gz	hlp	html	jpg	kml	kmz	log	pps	ps	rtf	sql	swf	text	tmp	troff	wp	xls	xml
csv	70	0	0	2	0	0	7	0	3	0	2	0	2	0	4	0	4	3	2	0	0	0
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	3	0	19	0	1	0	0	0	0	0	0	1	0	1	0	1	12	1	0	2	57	0
eps	2	0	0	72	0	0	2	0	2	0	1	1	12	2	1	1	0	0	1	0	0	0
gz	0	0	0	0	58	0	0	0	0	8	0	11	0	0	0	20	0	0	0	0	0	0
hlp	1	0	0	0	0	76	0	0	0	0	2	0	0	0	4	0	7	0	7	0	0	0
html	3	0	0	2	0	0	73	0	8	0	0	0	1	1	4	0	2	0	0	0	0	6
jpg	0	0	2	0	2	0	1	64	0	1	1	12	0	0	0	13	2	0	0	2	1	0
kml	4	0	0	0	0	0	3	0	91	0	1	0	1	0	0	0	0	0	0	0	0	0
kmz	0	0	0	0	14	0	0	0	0	65	0	12	0	0	0	2	2	0	0	0	0	0
log	4	0	0	7	0	0	2	0	6	0	54	0	8	1	4	0	5	6	3	1	0	4
pps	0	0	12	0	18	0	0	1	0	7	0	28	0	0	1	17	3	0	2	1	12	0
ps	5	0	0	22	0	3	2	0	3	0	4	0	54	2	2	0	1	3	0	0	0	0
rtf	2	0	0	1	0	0	2	0	0	0	0	0	3	88	1	0	2	0	1	0	0	1
sql	6	0	0	1	0	5	10	0	0	0	3	0	0	0	54	0	6	2	14	0	0	2
swf	0	0	0	0	14	0	0	0	0	8	0	23	0	0	0	44	2	0	0	6	1	0
text	0	0	13	4	3	2	2	4	0	1	4	1	13	3	1	1	28	2	7	0	13	0
tmp	2	0	0	4	0	1	4	0	0	0	1	0	2	0	5	0	13	60	6	0	1	0
troff	3	0	0	4	0	2	5	0	0	0	0	0	10	0	10	0	7	0	56	2	0	0
wp	2	0	0	0	0	3	0	1	0	11	0	1	0	1	0	0	9	2	3	68	1	0
xls	0	0	6	0	0	0	1	1	0	0	0	4	0	0	0	0	3	0	1	1	86	0
xml	8	0	0	0	0	0	14	0	19	0	1	0	2	0	1	0	0	1	1	0	0	51
