True	csv	doc	docx	eps	gif	hlp	html	java	jpg	kml	kmz	pdf	ps	rtf	sql	swf	tex	text	troff	unk	wp	xls	xml
csv	81	1	0	4	2	1	1	2	0	3	0	0	2	1	3	0	1	0	3	0	0	0	0
doc	0	47	0	1	0	1	0	0	1	0	0	2	0	1	1	1	0	1	1	0	9	35	0
docx	0	0	86	0	1	0	0	0	2	0	10	0	0	0	0	1	0	0	0	0	0	1	0
eps	1	0	0	75	0	0	0	0	0	0	0	3	15	1	0	0	1	1	0	0	0	0	0
gif	0	0	1	0	74	0	0	0	8	0	0	3	0	0	0	5	0	5	0	0	4	0	0
hlp	2	1	0	0	0	67	0	2	0	0	0	0	0	0	0	0	3	2	5	4	13	0	0
html	1	0	0	0	0	0	66	0	1	6	0	2	2	1	2	0	1	0	3	5	0	0	8
java	1	0	0	0	0	4	2	60	0	2	0	0	8	0	2	0	7	0	1	8	0	0	5
jpg	0	0	0	1	4	0	0	0	74	0	0	3	0	0	0	10	0	0	0	0	3	6	0
kml	0	0	0	0	0	0	3	0	0	86	0	2	0	0	0	0	0	3	0	1	0	0	4
kmz	0	0	0	0	2	0	0	0	3	0	81	2	0	0	0	3	0	4	0	0	2	0	0
pdf	1	0	1	2	3	0	1	0	5	2	11	51	1	0	0	12	0	5	0	0	1	0	0
ps	1	0	0	21	0	1	0	0	0	2	2	0	58	2	0	0	1	7	0	1	0	0	0
rtf	0	0	0	4	0	1	0	0	0	1	0	2	5	83	0	0	0	0	0	1	0	2	0
sql	7	0	0	2	0	3	0	0	0	0	0	1	4	0	45	0	7	12	8	7	2	2	0
swf	0	1	2	0	13	0	0	0	10	0	18	6	0	0	0	39	0	1	0	0	3	7	0
tex	1	0	0	0	0	2	1	0	0	1	0	0	0	4	0	0	83	1	4	0	0	0	3
text	1	15	0	2	5	2	2	1	3	0	0	7	5	2	6	4	0	28	7	1	2	6	2
troff	0	1	0	2	0	6	9	1	0	2	0	3	4	0	4	0	3	3	51	7	0	0	2
unk	1	4	1	1	1	0	7	5	4	2	0	3	2	1	5	0	2	8	7	38	2	6	2
wp	0	0	0	2	0	0	0	0	1	0	3	0	0	1	0	3	0	1	1	3	88	1	0
xls	0	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	87	0
xml	0	0	0	1	0	0	9	0	0	19	0	2	4	2	0	0	4	0	0	0	0	0	57
