True	dbase3	dwf	eps	f	fits	gif	hlp	html	java	jpg	kml	log	pdf	png	pps	ppt	pptx	ps	swf	tmp	troff	txt	unk	wp	xls	xml
dbase3	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	73	0	0	0	7	0	0	0	0	0	0	2	1	9	0	4	0	4	0	0	0	0	0	0	0
eps	0	0	49	3	1	0	0	1	0	0	2	2	2	0	0	1	0	21	0	2	1	8	0	0	0	0
f	0	0	0	30	10	0	3	2	4	0	1	2	0	0	0	0	0	8	0	1	11	4	24	2	0	3
fits	0	1	0	3	68	4	0	0	0	1	0	0	3	0	4	0	0	0	7	0	0	0	10	4	0	0
gif	0	0	0	0	0	81	0	0	0	0	0	0	3	8	0	0	4	0	4	0	0	0	0	2	0	0
hlp	0	0	0	16	0	0	79	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	5	5	0	0
html	0	0	0	1	0	0	4	64	1	0	2	0	2	0	0	0	0	3	0	1	1	3	8	0	0	9
java	0	0	0	7	0	0	3	2	66	0	0	8	0	0	0	0	0	1	0	0	0	0	5	1	0	2
jpg	0	0	0	0	2	3	0	2	0	69	0	1	1	1	10	0	5	0	4	0	0	0	0	1	2	0
kml	0	0	1	0	0	0	0	3	2	0	64	3	1	0	0	0	0	0	0	1	0	3	0	0	0	18
log	0	0	2	3	0	0	0	2	1	0	2	42	4	0	0	0	3	9	0	3	1	4	6	0	0	12
pdf	0	6	1	0	1	1	0	2	0	1	0	1	59	0	10	0	8	4	7	0	0	0	0	0	0	1
png	0	9	0	0	0	4	0	0	0	0	0	0	1	48	13	3	3	0	3	0	0	0	0	11	0	0
pps	0	2	0	0	0	2	0	0	0	1	0	0	2	0	27	18	24	0	10	0	0	0	1	4	9	0
ppt	0	2	0	0	0	5	0	0	0	1	0	0	2	3	22	24	18	0	3	0	0	0	0	5	18	0
pptx	0	0	0	0	0	2	0	0	0	1	0	0	0	1	44	1	40	0	6	0	0	0	0	1	0	0
ps	0	0	20	0	6	0	0	1	3	0	1	0	1	0	1	0	0	50	0	6	0	4	4	0	0	0
swf	0	4	0	0	0	5	0	0	0	0	0	0	3	2	26	0	15	0	40	0	0	0	1	6	0	0
tmp	0	0	1	15	2	3	0	0	0	0	0	2	7	0	0	0	3	3	0	46	8	5	5	2	0	0
troff	0	0	1	10	3	0	3	1	3	0	0	0	0	0	0	0	0	3	0	1	62	1	4	2	0	3
txt	0	0	0	12	10	0	8	2	4	0	0	5	2	0	0	0	0	3	0	7	6	20	19	2	0	1
unk	0	0	1	13	0	2	5	3	3	0	0	0	5	0	1	1	0	8	1	0	9	1	36	4	3	1
wp	0	6	0	1	3	2	2	0	0	0	0	0	0	1	2	0	0	0	3	0	0	1	8	73	0	0
xls	0	1	0	0	2	1	0	0	0	0	0	0	0	0	3	17	0	0	2	0	1	0	1	2	70	0
xml	0	0	5	1	0	0	0	13	0	0	9	1	0	0	0	0	0	5	0	4	1	0	0	0	0	64
