True	csv	dbase3	doc	docx	eps	f	fits	gif	gz	hlp	html	kml	kmz	log	pdf	png	pps	ppt	pptx	sql	swf	tmp	txt	unk	wp	xls	xml
csv	65	0	0	0	1	3	0	0	0	1	5	3	0	14	1	0	0	0	0	0	0	7	8	0	0	0	0
dbase3	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	2	0	58	1	0	1	2	0	0	0	0	0	0	1	0	0	9	8	3	0	0	0	1	2	1	2	0
docx	0	0	0	79	0	0	0	0	6	0	0	0	0	0	0	1	2	2	12	0	2	0	0	0	0	0	0
eps	2	0	0	0	72	0	3	0	0	0	1	1	0	10	1	0	0	0	1	1	0	1	12	1	0	0	0
f	10	0	0	0	2	34	6	0	0	0	0	0	0	9	0	2	0	0	0	8	0	1	19	8	0	0	0
fits	0	0	0	0	0	4	88	0	0	0	0	0	0	0	3	0	0	0	1	0	4	0	1	5	0	0	0
gif	0	0	0	2	0	0	3	68	0	0	0	0	2	0	2	11	0	3	3	0	6	0	0	0	0	0	0
gz	0	0	0	0	0	0	0	0	58	0	0	0	16	0	7	0	4	3	9	0	5	0	0	0	0	0	0
hlp	0	0	0	0	0	22	1	0	0	44	0	0	0	3	0	0	0	0	0	2	0	2	14	8	1	0	0
html	2	0	0	0	1	2	1	0	0	0	66	2	0	8	0	0	0	0	0	7	0	0	1	2	0	0	6
kml	0	0	0	0	0	1	0	0	0	0	7	75	0	6	0	0	0	0	0	0	0	0	1	0	0	0	4
kmz	0	0	2	0	0	0	0	0	12	0	0	0	63	0	0	0	1	2	4	0	3	0	0	0	0	0	0
log	3	0	0	0	2	2	0	0	0	0	7	4	0	74	2	0	0	0	0	1	0	2	1	1	0	0	1
pdf	0	0	0	0	4	0	1	1	5	0	0	1	4	1	60	0	8	4	3	0	8	0	0	0	0	0	0
png	0	0	0	1	0	0	0	0	7	0	0	0	5	0	2	58	5	14	6	0	6	0	0	0	0	0	0
pps	0	0	15	0	0	1	1	0	12	0	0	0	4	0	2	1	18	14	17	0	10	0	0	0	1	3	0
ppt	0	0	30	0	0	0	1	1	18	0	0	0	4	0	2	4	14	13	4	0	5	0	0	0	0	4	0
pptx	0	0	3	9	0	0	0	2	19	0	0	0	4	0	5	3	2	22	15	0	7	0	0	1	0	1	0
sql	14	0	3	0	8	12	0	0	0	4	7	0	0	15	0	0	0	0	0	33	0	7	0	2	0	0	0
swf	0	0	0	0	2	0	1	2	18	0	0	0	6	0	2	7	7	13	6	0	43	0	0	0	1	0	0
tmp	3	0	1	0	4	10	0	0	0	1	1	0	0	13	4	0	1	0	0	1	0	55	5	1	0	0	2
txt	4	0	0	0	6	28	3	0	0	0	2	0	0	9	0	0	0	0	0	4	0	5	27	9	3	0	1
unk	6	0	1	0	1	10	5	0	0	1	2	0	0	8	2	0	1	1	1	8	0	1	11	25	3	5	0
wp	0	0	1	0	0	2	2	1	0	0	1	0	3	1	0	4	5	1	0	0	1	0	1	1	76	4	0
xls	0	0	34	0	0	1	4	1	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	2	40	0
xml	0	0	0	0	4	0	0	0	0	0	15	19	0	11	0	0	0	0	0	0	0	1	0	0	0	0	61
