True	csv	dbase3	doc	docx	dwf	eps	fits	gz	hlp	html	java	jpg	kml	kmz	pdf	pps	ppt	pptx	rtf	sql	swf	tex	text	troff	txt	wp	xls	xml
csv	67	0	0	0	0	4	0	0	0	6	2	0	0	0	0	0	0	0	0	13	0	8	2	2	1	0	0	0
dbase3	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
doc	0	0	80	1	0	0	0	0	1	0	0	1	0	0	0	4	1	4	0	0	5	0	2	1	0	0	7	0
docx	0	0	1	86	0	0	0	2	0	0	0	0	0	3	0	2	0	9	0	0	4	0	0	0	0	0	0	0
dwf	0	0	0	0	82	0	0	3	0	0	0	0	0	7	6	1	0	7	0	0	4	0	0	0	0	0	0	0
eps	1	0	0	0	1	67	2	1	0	2	0	0	0	0	4	0	0	0	1	2	0	1	1	0	3	0	1	3
fits	0	0	0	0	1	1	63	0	1	0	0	1	0	0	2	1	0	3	0	0	7	1	3	0	13	2	0	0
gz	0	0	0	0	0	0	1	40	0	0	0	0	0	22	2	5	0	18	0	0	5	0	0	0	0	0	0	0
hlp	3	0	0	0	0	0	0	0	62	0	5	0	0	0	0	0	0	0	1	5	0	1	0	0	15	4	0	0
html	1	0	0	0	0	2	1	0	0	65	0	0	2	0	0	0	0	0	2	4	0	1	1	1	2	0	0	13
java	1	0	0	0	0	2	0	0	3	4	76	0	3	0	0	0	0	0	0	3	0	3	1	1	4	0	0	3
jpg	0	0	0	0	3	0	1	2	0	0	0	55	0	0	4	0	0	12	0	0	8	0	2	0	0	7	0	0
kml	1	0	0	0	0	0	0	0	0	1	3	0	83	0	0	0	0	0	0	0	0	5	0	0	2	0	0	11
kmz	0	0	0	0	12	0	0	6	0	0	0	0	0	53	1	0	5	13	0	0	7	0	0	0	0	0	0	0
pdf	2	0	0	0	1	1	0	5	0	3	0	1	1	4	58	3	0	6	0	0	9	0	0	2	0	0	0	0
pps	0	0	27	0	4	0	2	11	0	0	0	0	0	4	1	2	4	24	0	0	15	0	2	0	0	1	0	0
ppt	0	0	27	0	2	0	1	8	0	0	0	1	0	2	0	4	10	21	0	0	14	0	3	0	0	5	5	0
pptx	0	0	0	11	2	0	2	15	0	0	0	0	0	3	2	9	0	32	0	0	24	0	0	0	0	2	0	0
rtf	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	72	0	0	11	0	0	0	0	1	0
sql	1	0	0	6	0	4	2	0	1	9	2	0	4	0	1	0	0	0	0	51	0	6	2	6	16	0	0	4
swf	0	0	1	0	9	0	2	4	0	2	0	5	0	2	1	5	0	22	0	0	46	0	0	0	0	4	2	0
tex	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	83	0	4	6	2	0	3
text	0	0	23	0	0	3	1	2	1	0	1	0	0	0	3	1	0	4	0	3	4	2	19	12	19	6	0	0
troff	5	0	0	0	0	0	1	0	1	17	3	0	0	0	0	0	0	0	0	13	0	1	1	50	9	2	0	0
txt	3	0	0	0	0	3	5	0	4	2	3	0	1	0	2	0	0	0	0	11	0	2	1	7	44	2	0	0
wp	1	0	1	2	7	0	3	0	2	1	0	2	0	6	0	2	0	0	1	3	2	1	0	2	3	65	0	0
xls	0	0	64	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	1	0	0	0	0	0	25	0
xml	1	0	0	0	0	0	0	0	0	5	1	0	13	0	0	0	0	0	0	1	0	7	0	0	0	0	0	70
