True	doc	docx	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	xls	xml
doc	32	0	0	3	0	0	1	0	0	0	0	0	0	0	0	3	3	1	0	2	0	2	0	3	0	0	0	1	45	0
docx	0	88	0	0	0	0	3	0	0	0	0	0	5	0	0	0	2	1	0	0	0	5	0	0	0	0	0	0	0	0
eps	0	0	71	1	2	1	0	0	0	0	0	2	0	1	0	1	0	0	14	2	0	0	0	1	1	1	5	0	0	1
f	0	0	0	17	6	0	0	5	1	7	0	3	0	0	0	0	0	0	0	1	10	0	0	5	2	6	23	13	0	0
fits	2	0	0	0	71	2	1	0	0	0	0	0	0	2	0	1	1	1	1	0	0	5	0	4	0	0	4	2	0	0
gif	1	2	0	0	3	70	1	0	0	0	2	0	1	1	5	0	2	2	0	0	0	7	0	2	2	0	0	0	0	0
gz	0	0	0	0	0	0	47	0	0	0	0	0	14	5	0	11	1	9	0	0	0	10	0	1	0	0	0	0	0	0
hlp	0	0	0	2	1	0	0	50	0	4	0	0	0	0	0	0	0	0	0	3	3	0	1	7	0	2	15	4	0	0
html	0	0	1	1	2	0	0	1	48	0	0	9	0	2	0	0	0	0	3	5	5	0	1	1	1	5	5	4	0	8
java	0	0	0	4	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	10	1	0	3	0	0	3	3	11	0	3
jpg	1	0	0	1	1	1	4	0	0	0	73	0	1	2	3	3	2	1	0	0	0	7	0	0	0	0	1	1	0	0
kml	0	0	1	0	0	0	0	1	0	4	0	82	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	6
kmz	0	0	0	0	0	0	8	0	0	0	0	0	70	1	1	9	1	3	0	0	0	5	0	0	0	0	0	0	0	0
pdf	0	0	1	0	2	2	4	0	0	0	0	4	9	53	0	2	0	8	4	1	0	7	0	0	1	0	1	0	0	0
png	0	0	0	0	2	6	6	0	0	0	0	0	3	1	58	2	1	6	0	0	0	15	0	0	0	0	0	0	0	0
pps	7	1	0	0	0	1	14	0	0	0	1	0	5	2	0	10	10	8	0	0	0	26	0	4	0	0	0	0	8	0
ppt	8	0	0	0	0	3	14	0	0	0	2	0	5	3	3	14	11	12	0	0	0	18	0	3	0	0	0	0	8	0
pptx	0	9	0	0	0	2	15	0	0	0	0	0	6	2	2	15	3	13	0	0	0	35	0	0	0	0	0	0	0	0
ps	0	0	25	0	5	0	0	0	0	1	0	2	0	0	0	0	0	0	44	6	4	0	0	3	4	1	4	1	0	1
rtf	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	88	1	0	3	0	1	0	1	0	0	0
sql	0	0	1	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	49	0	6	1	8	0	11	11	0	0
swf	0	0	0	0	0	1	6	0	0	0	2	0	3	4	2	7	6	6	0	0	0	65	0	0	1	0	0	1	0	0
tex	0	0	4	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	5	0	75	0	0	0	6	0	0	5
text	14	0	1	2	4	1	0	0	4	0	1	0	1	2	1	2	2	4	0	4	9	5	0	19	2	1	16	3	6	2
tmp	0	0	2	9	3	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	8	0	1	5	40	10	6	3	0	2
troff	0	0	0	7	3	0	0	4	0	5	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	59	10	7	0	2
txt	0	0	6	8	6	0	0	0	0	3	0	3	0	0	0	0	0	0	1	1	2	0	1	13	1	7	32	15	0	0
unk	2	0	0	8	4	2	0	3	2	6	0	0	0	2	0	1	2	1	4	1	7	0	0	2	5	0	19	22	5	2
xls	11	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	88	0
xml	0	0	2	1	0	0	0	0	3	6	0	19	0	0	0	0	0	0	2	4	2	0	2	0	0	1	0	0	0	57
