True	csv	dbase3	doc	docx	dwf	eps	f	fits	gz	hlp	html	java	jpg	kml	kmz	log	pdf	pps	ppt	pptx	ps	rtf	sql	swf	tex	tmp	txt	unk	wp	xls	xml
csv	52	0	0	0	0	2	10	0	0	1	4	0	0	0	0	4	0	0	0	0	4	0	7	0	1	1	7	2	0	0	1
dbase3	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	17	2	2	0	2	0	0	0	0	0	2	0	0	0	0	0	4	1	0	0	0	0	0	1	0	1	2	65	0
docx	0	0	0	83	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	5	0	0	0	4	0	0	0	0	0	0	0
dwf	0	0	0	0	82	0	0	0	4	0	0	0	9	0	1	0	1	0	0	5	0	0	0	1	0	0	0	0	0	0	0
eps	0	0	0	0	0	58	2	0	1	2	0	0	0	0	0	2	3	0	1	0	18	0	0	0	2	2	13	0	0	1	0
f	8	0	0	0	0	0	46	2	0	6	1	1	0	0	0	2	0	0	0	0	8	1	10	0	0	2	10	4	0	0	0
fits	0	0	2	0	3	0	7	64	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	4	0	0	6	5	3	0	0
gz	0	0	0	0	8	0	0	0	40	0	0	0	4	0	2	0	1	1	0	34	0	0	0	11	0	0	0	0	0	0	0
hlp	1	0	0	0	0	0	14	0	0	82	0	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	5	0	0	0	0
html	0	0	0	0	0	1	0	2	0	0	65	5	0	3	0	1	0	0	0	0	9	0	0	0	1	3	5	0	0	0	6
java	0	0	0	0	0	0	19	0	0	5	0	54	0	0	0	4	0	0	0	0	3	0	2	0	0	0	0	3	0	0	0
jpg	0	0	0	0	2	0	0	0	0	0	0	0	71	0	1	1	0	0	0	11	0	0	0	12	0	0	0	3	0	0	0
kml	0	0	0	0	0	2	0	0	0	0	2	4	0	71	0	5	0	0	0	0	0	0	0	0	1	0	2	0	0	0	8
kmz	0	0	0	0	9	0	0	0	9	0	0	0	1	0	59	0	0	1	0	18	0	0	0	5	0	0	0	0	0	0	0
log	3	0	0	0	0	8	1	0	0	1	2	1	0	4	0	64	0	0	0	0	8	1	3	0	1	3	1	3	0	0	0
pdf	0	0	0	0	2	2	1	0	4	0	0	0	8	2	6	1	40	0	0	12	10	1	0	6	0	1	0	0	0	0	2
pps	0	0	4	1	5	0	0	0	6	0	0	0	10	0	0	0	1	2	11	25	0	0	0	16	0	0	0	0	3	12	0
ppt	0	0	11	0	7	0	0	0	6	0	0	0	4	0	1	0	1	1	9	23	0	0	0	11	0	0	0	1	3	14	0
pptx	0	0	0	16	2	0	0	1	8	0	0	0	9	0	2	0	0	1	0	45	0	0	0	12	0	0	0	0	1	1	0
ps	0	0	0	0	0	31	2	0	0	1	4	2	0	0	0	2	1	0	0	0	50	2	1	0	0	5	2	0	0	0	0
rtf	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	2	0	0	0	0	7	72	1	0	0	0	3	1	0	1	0
sql	0	0	0	1	0	3	25	0	0	9	0	1	0	0	0	0	0	0	0	0	10	0	38	0	0	7	10	1	0	0	0
swf	0	0	0	0	3	0	0	0	5	0	0	0	10	0	0	0	2	0	1	30	0	0	0	45	0	0	0	0	5	1	0
tex	0	0	0	0	0	2	5	0	0	7	3	3	0	2	0	7	0	0	0	0	2	2	3	0	49	5	4	0	0	0	3
tmp	2	0	1	1	0	1	10	0	0	5	0	0	0	0	0	4	0	0	0	0	4	2	4	0	0	66	7	0	0	0	1
txt	9	0	0	0	0	2	34	3	0	5	0	4	0	0	0	0	0	0	0	0	6	0	6	0	0	3	23	6	0	0	0
unk	3	0	1	0	0	6	27	7	2	1	4	2	0	0	0	1	0	0	0	1	1	0	2	0	0	3	8	36	2	3	0
wp	0	0	0	0	2	0	2	2	0	4	0	0	0	0	0	0	0	0	3	2	0	0	2	0	0	0	4	0	82	1	0
xls	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	3	90	0
xml	0	0	0	0	0	2	2	0	0	0	14	7	0	12	0	3	0	0	0	0	3	0	0	0	5	1	0	0	0	0	45
