True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	html	java	jpg	kml	kmz	log	pdf	png	pps	pptx	ps	rtf	sql	swf	text	tmp	troff	txt	unk	wp	xls	xml
csv	83	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	7	0	0	1	1	0	0	0	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	62	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	3	25	0
docx	0	0	0	88	0	0	0	0	2	2	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	72	0	0	1	0	2	0	0	4	0	8	0	1	0	5	7	0	0	0	3	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	71	0	3	0	0	0	0	0	0	0	5	1	0	0	0	18	0	0	0	2	2	0	0	0	0	0	3
f	7	0	0	0	0	0	41	2	0	0	0	4	0	0	0	0	0	0	0	0	3	1	7	0	2	3	8	8	7	1	0	1
fits	0	0	0	2	0	0	4	77	2	2	0	0	2	0	0	0	0	1	2	2	2	0	0	3	1	0	0	1	1	0	1	0
gif	0	0	0	1	0	0	0	2	79	0	0	0	0	0	1	0	1	6	5	1	0	0	0	4	0	0	0	0	0	3	0	0
gz	0	0	0	0	3	0	0	0	1	45	0	0	1	0	7	0	0	0	25	10	0	0	0	6	0	0	0	0	0	0	0	0
html	0	0	0	0	0	3	0	1	0	0	74	3	0	1	0	0	1	0	0	0	0	1	0	0	0	4	1	0	4	0	0	4
java	0	0	0	0	0	1	7	0	0	0	1	59	0	0	0	11	0	0	0	0	2	0	2	0	0	1	0	4	4	0	0	3
jpg	0	0	1	0	0	1	0	0	8	1	1	0	69	0	0	0	2	3	9	2	0	0	1	3	1	0	0	0	1	1	0	0
kml	1	0	0	0	0	2	0	0	0	0	2	1	0	76	0	4	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	11
kmz	0	0	0	0	2	0	0	0	3	3	0	0	0	0	62	0	0	6	15	5	0	0	0	3	2	0	0	0	0	0	0	0
log	2	0	0	3	0	3	1	1	0	0	1	6	0	4	0	52	1	0	0	0	5	2	1	0	0	5	3	2	2	0	0	9
pdf	0	0	0	0	5	1	0	1	4	6	1	0	0	1	6	1	41	2	7	4	0	0	0	7	3	1	0	1	0	1	0	0
png	0	0	0	1	0	0	0	0	7	3	0	0	1	0	3	0	0	58	13	7	0	0	0	7	0	0	0	0	0	3	0	0
pps	0	0	15	1	0	0	0	0	5	6	0	0	1	0	8	0	0	1	34	9	0	0	0	6	1	0	0	0	0	2	10	0
pptx	0	0	0	20	1	0	0	0	5	8	0	0	3	0	7	0	0	2	26	15	0	0	0	19	1	0	0	0	0	1	1	0
ps	4	0	0	0	0	13	6	1	0	0	2	0	0	1	2	9	1	0	0	0	58	1	0	0	2	0	0	1	0	0	0	0
rtf	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	4	85	0	0	0	0	0	0	1	1	2	2
sql	2	0	0	6	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	49	0	1	11	4	11	6	0	0	0
swf	0	0	0	0	0	0	0	0	1	2	0	0	3	0	2	0	0	2	27	13	0	0	0	46	0	0	0	0	0	2	1	0
text	0	0	17	1	0	3	3	7	4	0	1	0	0	0	2	0	0	2	1	1	2	0	6	1	17	0	10	9	0	0	7	0
tmp	1	0	2	9	0	1	7	1	0	0	0	0	0	0	0	7	1	0	0	0	3	0	2	0	0	52	4	5	0	0	1	3
troff	3	0	0	0	0	1	9	4	0	0	0	3	0	0	0	3	0	0	0	0	3	0	6	0	3	0	47	4	5	0	0	1
txt	5	0	0	0	0	3	14	9	0	0	0	2	0	0	0	0	0	0	0	0	4	2	4	0	9	3	7	20	10	4	0	0
unk	0	0	8	0	0	0	7	8	0	0	1	3	3	0	0	1	0	2	2	0	5	0	3	1	1	1	3	9	34	0	4	0
wp	0	0	4	1	4	0	1	1	0	0	0	0	2	0	4	0	0	4	1	0	0	0	0	2	0	0	0	0	0	76	0	0
xls	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	2	73	0
xml	0	0	0	0	0	1	0	0	0	0	8	3	0	13	0	2	1	0	0	0	1	0	0	0	0	2	0	1	2	0	0	66
