True	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
dbase3	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	34	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6	2	2	0	0	0	0	0	2	0	0	0	0	0	46	0
docx	0	0	87	0	0	0	0	0	7	0	0	0	0	2	0	0	0	3	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
dwf	0	0	0	76	0	0	1	0	1	0	0	7	0	3	0	1	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	66	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	19	4	3	0	0	0	0	0	1	1	0	0	0
f	0	0	0	0	2	20	3	0	0	3	1	0	0	0	2	0	0	0	0	0	3	2	14	0	1	14	0	7	10	12	2	4	2
fits	0	2	0	0	0	1	75	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	2	1	0	6	0	0	0	4	0	0	0
gif	0	1	3	1	0	0	9	60	2	0	0	0	0	0	0	3	9	0	2	4	0	0	0	8	0	2	0	0	0	0	0	1	0
gz	0	0	0	1	0	0	0	1	54	0	0	0	0	13	0	2	0	11	0	11	0	0	0	6	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	1	0	0	0	0	64	0	0	0	0	1	0	0	0	0	0	0	2	7	0	0	5	0	0	0	19	3	0	0
html	0	0	0	0	2	0	0	0	0	1	53	1	10	0	6	0	0	0	0	0	1	2	0	0	3	0	3	3	0	3	0	0	9
jpg	0	0	0	1	0	0	0	1	4	0	0	66	0	1	0	1	2	10	1	3	0	0	0	5	0	1	0	0	0	0	4	0	0
kml	0	0	0	0	0	1	0	0	0	0	1	0	70	0	5	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	21
kmz	0	0	0	12	0	0	0	0	7	0	0	0	0	61	0	1	0	5	1	7	0	0	0	3	0	0	0	0	0	0	0	0	0
log	0	0	0	0	3	0	4	0	0	1	3	0	4	0	59	0	0	0	0	0	5	2	1	0	4	0	0	2	3	4	0	0	6
pdf	0	0	0	4	1	0	4	0	5	0	0	0	1	2	1	45	5	6	1	2	8	1	0	8	0	0	1	0	0	1	1	0	0
png	0	0	0	2	0	0	0	4	4	0	0	0	0	4	0	0	65	4	0	10	0	0	0	5	0	0	0	0	0	1	1	0	0
pps	1	4	0	1	0	0	2	1	19	0	0	1	0	6	0	3	1	18	11	16	0	0	0	5	0	1	0	0	0	1	3	6	0
ppt	0	14	0	3	0	0	4	0	11	0	0	1	0	1	0	2	1	11	8	15	0	0	0	7	0	3	0	0	0	0	4	10	0
pptx	0	1	11	2	0	0	4	1	16	0	0	0	0	3	0	3	4	15	1	24	0	0	0	14	0	0	0	0	0	0	1	0	0
ps	0	0	0	0	21	0	2	0	0	0	0	0	1	0	5	0	0	0	0	0	53	8	2	0	1	0	0	1	1	0	0	0	0
rtf	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	99	0	0	1	0	0	0	0	2	0	1	0
sql	0	0	2	0	5	2	0	0	0	2	7	0	0	0	5	0	0	0	0	1	2	1	44	0	4	8	1	0	3	11	0	0	0
swf	0	1	0	7	0	0	3	2	8	0	0	1	0	8	0	4	6	16	2	7	0	0	0	33	0	0	0	0	0	0	1	0	0
tex	0	0	0	0	2	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	8	0	0	75	0	2	2	1	0	0	0	1
text	0	9	1	0	0	5	6	3	3	0	1	1	2	0	2	1	0	2	1	1	3	2	11	1	0	27	1	3	4	2	1	4	0
tmp	0	2	2	6	0	4	2	0	0	0	2	0	1	0	11	0	0	0	0	0	6	4	7	0	1	2	41	4	6	5	0	0	0
troff	0	0	0	0	1	7	1	0	0	1	4	0	1	0	3	0	0	0	0	0	6	0	3	0	2	13	1	41	5	10	0	0	1
txt	0	0	0	0	6	6	13	0	0	5	0	0	0	0	0	0	0	0	0	0	15	3	5	0	0	13	0	3	16	9	4	1	1
unk	0	3	1	0	3	2	11	2	1	2	2	1	0	0	0	0	1	0	0	0	2	3	2	0	0	10	0	1	6	37	1	8	0
wp	0	0	1	1	0	0	2	0	0	1	0	1	0	2	0	0	9	0	4	2	0	1	1	2	1	1	0	0	0	3	65	0	0
xls	0	13	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	2	82	0
xml	0	0	0	0	0	0	0	0	0	0	6	0	10	0	10	1	0	0	0	0	5	8	1	0	1	0	0	1	0	2	0	0	58
