True	csv	docx	eps	fits	gz	html	log	ppt	pptx	ps	sql	swf	troff	unk	wp
csv	82	0	0	0	0	3	1	0	0	6	5	0	5	1	2
docx	0	93	0	0	5	0	0	0	5	0	0	3	0	0	1
eps	3	0	59	1	0	1	1	1	0	28	0	0	0	0	1
fits	0	0	0	63	2	0	0	14	1	5	0	7	0	3	2
gz	0	0	0	0	66	0	0	7	18	0	0	5	0	0	0
html	0	0	3	2	0	67	15	0	0	5	1	0	2	6	2
log	3	0	6	0	0	3	49	0	0	19	1	0	5	6	1
ppt	0	0	0	2	19	0	0	48	18	0	0	8	0	0	4
pptx	0	9	0	1	28	0	0	22	23	0	0	16	0	0	3
ps	1	0	22	0	0	1	3	0	0	70	0	0	2	1	0
sql	1	4	3	0	0	5	8	1	0	7	55	0	6	11	3
swf	0	0	3	0	12	0	0	27	21	0	0	41	0	0	5
troff	4	0	3	0	0	0	0	0	0	3	20	0	52	15	1
unk	0	0	4	13	3	2	1	6	0	4	4	0	8	34	13
wp	0	1	0	4	5	0	0	4	0	0	1	4	1	1	79
