True	dbase3	docx	eps	fits	gz	jpg	kml	log	pdf	png	pps	ps	swf	tex	tmp	txt
dbase3	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	84	0	0	11	0	0	0	0	1	1	0	2	0	0	0
eps	0	0	53	0	1	0	1	2	1	0	0	32	0	1	0	4
fits	0	0	1	77	2	0	0	0	1	1	1	1	7	0	1	4
gz	0	0	0	2	66	1	0	0	4	2	14	0	13	0	0	0
jpg	0	0	0	1	5	74	0	1	1	2	7	0	11	0	0	0
kml	0	0	1	0	0	0	85	14	2	0	0	0	0	2	1	3
log	0	0	0	0	0	0	2	70	0	0	0	9	0	4	3	10
pdf	1	0	1	4	10	1	3	1	59	1	4	8	6	0	1	0
png	0	0	0	0	9	6	0	0	1	69	10	0	12	0	0	0
pps	0	1	0	2	24	6	0	0	6	4	40	0	15	0	0	3
ps	0	0	9	2	0	0	1	12	1	0	0	65	0	0	4	4
swf	0	0	2	6	22	6	0	0	8	10	12	0	34	0	0	1
tex	0	0	0	0	0	0	2	21	0	0	0	0	0	63	5	12
tmp	0	12	1	4	0	0	0	7	1	2	0	1	0	0	48	23
txt	0	0	5	16	0	0	0	10	0	0	0	5	0	2	6	56
