True	doc	docx	dwf	eps	fits	gz	hlp	html	jpg	kmz	log	pps	sql	swf	text	troff	wp	xml
doc	77	0	1	0	0	1	1	0	1	0	0	2	1	1	5	1	6	0
docx	1	82	1	0	0	9	0	0	1	0	0	3	0	4	0	0	0	0
dwf	1	0	76	0	0	7	0	0	0	4	0	2	0	8	2	0	0	0
eps	0	0	0	64	0	0	0	13	0	0	4	0	1	0	8	0	0	6
fits	0	1	3	1	68	1	0	1	3	0	0	0	4	7	8	0	3	0
gz	0	0	4	0	0	77	0	0	1	5	0	3	0	11	1	0	0	0
hlp	0	0	0	0	4	0	65	1	0	0	1	0	8	0	8	0	13	0
html	0	0	0	1	3	0	2	75	0	0	3	0	1	0	0	0	0	17
jpg	2	0	8	0	1	6	0	2	66	1	0	1	0	6	1	0	1	0
kmz	0	0	19	0	0	26	0	0	0	55	0	2	0	1	0	0	0	0
log	1	0	0	8	0	0	0	12	0	0	62	0	5	0	0	1	0	11
pps	21	1	9	0	1	39	0	0	3	7	0	2	0	11	6	0	0	0
sql	0	1	0	13	0	0	0	12	0	0	1	0	57	0	12	4	1	2
swf	0	1	14	1	1	16	0	0	7	1	0	3	0	56	0	0	1	0
text	12	1	5	1	8	2	1	7	3	0	0	3	8	4	38	8	5	0
troff	0	0	0	3	0	0	1	15	0	0	11	0	4	0	19	45	3	0
wp	8	5	7	0	0	0	0	0	0	1	0	0	1	3	2	0	68	0
xml	0	0	0	5	0	0	0	11	0	0	4	0	0	0	0	0	0	78
