True	csv	doc	dwf	gz	java	jpg	kml	kmz	pps	pptx	ps	rtf	sql	text	tmp	txt	unk	wp	xls
csv	85	0	0	0	2	0	0	0	0	0	2	1	0	1	3	4	1	1	0
doc	0	62	1	0	0	4	0	0	10	5	1	0	0	1	1	0	0	3	5
dwf	0	0	93	0	0	3	0	3	0	6	0	0	0	0	0	0	0	0	0
gz	0	0	9	49	0	1	0	4	5	32	0	0	0	0	0	0	0	0	0
java	0	0	0	0	80	0	3	0	0	0	0	0	5	1	3	2	4	1	0
jpg	0	0	11	1	0	64	0	1	4	14	0	0	0	2	2	0	1	3	0
kml	3	0	0	0	8	0	84	0	0	0	0	0	0	0	0	1	4	0	0
kmz	0	0	13	4	0	0	0	55	3	23	0	0	0	0	0	0	0	4	0
pps	0	5	3	9	0	3	0	2	17	50	0	0	1	0	0	1	3	3	2
pptx	0	0	8	13	0	2	0	0	10	59	0	0	1	0	1	1	0	1	0
ps	3	0	0	0	3	0	0	2	0	0	72	9	1	1	2	1	3	0	0
rtf	1	0	0	0	0	0	1	0	0	2	4	83	1	1	0	5	0	2	1
sql	5	0	0	0	7	0	0	0	0	0	5	0	54	12	2	12	3	1	0
text	2	29	2	2	0	1	0	0	3	5	0	1	3	24	6	14	3	0	0
tmp	6	0	0	0	1	0	0	0	0	0	4	0	13	6	61	8	1	2	0
txt	5	0	0	0	4	0	1	0	0	0	3	0	7	19	2	54	7	2	0
unk	5	3	0	0	7	0	0	0	0	2	5	0	5	8	0	20	45	6	0
wp	0	1	8	0	0	2	0	1	3	0	0	0	1	0	0	0	3	77	1
xls	0	28	2	0	0	0	0	0	8	0	0	0	1	3	0	0	2	1	55
