True	doc	dwf	fits	gif	gz	hlp	html	java	kml	kmz	pdf	pptx	ps	rtf	tex	text	tmp	troff	txt	unk
doc	84	0	2	2	0	0	1	1	0	2	0	2	0	0	0	1	0	0	0	3
dwf	0	73	0	3	4	0	0	0	0	8	3	10	0	0	0	2	0	0	0	0
fits	1	1	70	7	0	1	2	0	0	0	2	3	0	0	0	3	0	0	5	4
gif	3	4	2	69	1	0	0	0	0	0	7	6	0	0	0	11	0	0	0	0
gz	0	2	0	3	55	0	0	0	0	7	2	35	0	0	0	0	0	0	0	0
hlp	1	0	0	0	0	61	0	9	0	0	0	0	0	3	0	0	3	1	10	13
html	1	0	0	0	0	1	69	1	5	0	1	0	2	5	3	0	2	2	4	2
java	0	0	0	0	0	2	1	74	5	0	0	0	3	0	4	0	0	4	0	7
kml	0	0	0	0	0	0	5	0	81	0	0	0	1	0	5	0	1	0	0	2
kmz	0	11	0	0	14	0	0	0	0	60	0	13	0	0	0	0	0	0	0	0
pdf	0	2	1	3	6	0	9	0	0	9	51	14	1	1	1	4	0	0	0	0
pptx	4	8	1	7	25	0	0	0	0	0	0	49	0	0	0	2	2	0	0	0
ps	0	0	0	0	2	0	6	5	1	0	1	0	69	7	1	0	4	1	1	4
rtf	3	0	0	0	0	0	1	1	0	0	0	0	2	90	0	0	1	0	0	1
tex	0	0	0	0	0	0	8	1	0	0	0	0	1	0	72	0	2	2	7	6
text	22	1	4	0	2	0	4	2	1	0	0	3	1	1	2	19	11	4	19	7
tmp	1	0	2	1	0	1	6	0	0	0	0	0	9	1	0	0	62	2	3	5
troff	0	0	2	0	0	1	5	2	0	0	0	0	4	0	5	3	3	58	13	6
txt	0	0	3	0	0	2	1	3	0	0	0	0	5	4	4	8	12	10	28	21
unk	6	0	3	3	0	2	8	8	0	0	0	2	1	4	5	1	4	2	10	43
