True	csv	dbase3	eps	fits	gz	hlp	html	java	kml	log	png	pps	ppt	pptx	rtf	swf	tex	tmp	unk	wp	xls
csv	65	0	1	1	0	0	2	0	0	5	2	0	3	0	0	0	3	5	2	0	0
dbase3	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eps	1	0	78	4	0	1	5	0	1	1	0	0	0	0	3	0	0	4	2	1	0
fits	0	0	0	86	0	0	0	0	0	0	5	0	0	2	0	3	0	2	3	2	0
gz	0	0	0	0	45	0	0	0	0	0	6	1	2	27	0	9	0	0	0	0	0
hlp	0	0	0	2	0	58	0	6	0	3	0	0	0	0	2	0	2	1	9	15	0
html	3	0	0	0	0	0	75	0	6	4	0	0	0	0	0	0	1	1	9	1	0
java	1	0	0	0	0	2	3	61	4	16	0	0	0	0	8	0	0	2	8	1	0
kml	0	0	5	0	0	0	3	0	85	2	0	0	0	0	0	0	0	0	0	0	0
log	2	0	6	2	0	0	4	2	6	57	0	0	0	2	0	0	6	1	4	0	0
png	0	0	0	0	3	0	2	0	0	0	60	2	3	11	0	9	0	0	0	0	3
pps	0	0	0	1	5	0	0	0	0	0	9	6	19	33	1	15	0	0	0	4	16
ppt	0	0	0	1	5	0	0	0	0	0	2	5	22	42	0	9	0	0	0	1	27
pptx	0	0	0	0	7	0	0	0	0	0	13	5	2	40	0	26	0	0	1	1	0
rtf	0	0	1	0	0	0	1	0	0	0	0	0	0	0	95	0	1	0	0	0	0
swf	0	0	0	5	9	0	0	0	0	0	18	2	0	17	0	46	0	0	0	2	1
tex	3	0	0	0	0	4	2	0	3	5	0	0	0	0	5	0	73	7	2	1	0
tmp	5	0	5	3	0	0	5	0	0	11	0	0	0	0	0	0	0	60	4	9	0
unk	4	0	9	7	0	3	2	13	0	7	3	1	2	1	1	0	2	1	40	2	3
wp	0	0	0	2	0	1	0	0	0	1	13	0	1	2	2	4	1	0	2	71	1
xls	0	0	0	4	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	3	82
