True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	hlp	jpg	kml	kmz	log	png	pps	ppt	pptx	rtf	text	troff	xml
csv	86	0	0	0	0	2	3	1	0	0	0	1	0	3	0	0	0	0	1	3	1	1
dbase3	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	2	0	64	0	0	0	0	0	0	0	3	0	0	0	0	20	2	2	0	1	0	0
docx	0	0	0	78	2	0	0	0	1	0	0	0	3	0	1	5	2	4	0	0	0	0
dwf	0	0	0	0	90	0	0	0	2	0	2	0	3	0	0	7	0	1	0	0	0	0
eps	1	0	0	0	0	90	0	1	0	0	0	0	0	7	0	0	0	0	2	0	0	1
f	5	0	0	0	0	3	50	3	0	11	0	0	0	3	0	0	0	0	0	3	19	0
fits	0	0	3	0	0	4	1	77	5	2	1	0	0	0	1	5	2	0	0	1	0	0
gif	0	0	1	6	1	0	0	2	81	0	0	0	0	0	0	4	3	2	0	0	0	0
hlp	2	0	0	0	0	1	15	0	0	78	0	0	0	1	0	0	0	0	0	4	3	0
jpg	0	0	2	0	1	2	0	0	5	0	66	0	0	0	1	11	2	3	0	1	0	0
kml	0	0	0	0	0	5	1	0	0	0	0	79	0	5	0	0	0	0	0	1	1	10
kmz	0	0	0	0	6	0	0	0	1	0	0	0	69	0	2	15	6	3	0	0	0	0
log	6	0	0	0	0	8	2	0	0	1	0	3	0	59	0	0	0	0	0	2	13	5
png	0	0	4	0	2	0	0	0	13	0	2	0	0	0	54	17	1	5	0	0	0	0
pps	0	0	9	0	2	0	0	0	8	0	2	0	9	0	3	54	11	7	0	0	0	0
ppt	0	0	22	0	3	0	0	1	1	0	1	0	4	0	5	40	10	14	0	0	0	0
pptx	0	0	1	7	1	0	0	0	1	0	2	0	6	0	7	46	15	18	0	0	0	0
rtf	0	0	0	0	0	4	1	0	0	2	0	0	0	1	1	0	1	0	87	0	0	2
text	0	0	17	0	1	10	15	4	2	4	0	0	0	2	3	9	2	3	1	13	10	0
troff	6	0	0	0	0	11	15	0	0	2	0	0	0	8	0	0	0	0	0	2	57	0
xml	0	0	0	0	0	4	6	0	0	0	0	15	0	11	0	0	0	0	4	0	1	60
