True	csv	dbase3	docx	dwf	eps	f	fits	gif	hlp	html	java	jpg	pdf	png	pps	ppt	ps	rtf	sql	tex	text	tmp	xml
csv	74	0	0	0	2	2	0	0	0	8	4	0	0	0	0	0	4	0	6	3	0	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	85	0	0	0	0	1	0	0	0	0	1	0	7	6	0	0	0	0	0	0	0
dwf	0	0	1	71	0	0	0	2	0	0	0	2	2	0	8	6	0	0	0	0	0	0	0
eps	0	0	0	0	83	1	0	1	0	3	0	0	2	0	1	0	10	0	0	1	1	0	0
f	8	0	0	0	1	41	3	1	0	3	11	0	0	0	0	0	5	0	16	1	6	5	5
fits	0	0	0	2	1	3	74	2	0	0	0	1	0	1	2	4	0	0	2	0	11	0	0
gif	0	0	6	2	0	0	0	76	0	0	0	0	3	2	8	3	0	0	0	0	1	0	0
hlp	0	0	0	0	0	14	0	0	62	0	7	0	0	0	0	0	0	0	7	0	7	1	0
html	2	0	0	0	0	3	1	0	1	76	1	0	1	0	0	0	1	0	5	2	1	0	4
java	2	0	0	0	1	4	0	1	1	3	64	0	0	0	0	0	2	0	5	0	0	1	9
jpg	0	0	0	8	0	0	0	9	0	0	0	54	3	1	15	7	0	0	0	0	2	0	0
pdf	1	0	1	4	1	0	0	2	0	4	0	1	60	3	8	9	5	0	0	0	1	1	1
png	0	0	0	12	0	0	0	10	0	0	0	0	4	55	14	7	0	0	0	0	0	0	0
pps	0	0	1	10	0	0	0	2	0	0	0	0	8	2	36	25	0	0	0	0	6	0	0
ppt	0	0	6	6	1	0	1	4	0	0	0	1	4	6	36	41	0	0	0	0	6	0	0
ps	0	0	1	0	26	2	1	0	0	6	0	0	0	0	0	0	43	1	0	2	7	2	0
rtf	1	0	0	0	4	1	0	0	5	0	0	0	0	0	1	1	4	87	0	3	1	0	0
sql	6	0	4	0	9	10	0	0	0	1	0	0	0	0	0	0	7	0	47	4	3	10	4
tex	0	0	0	0	2	7	0	0	1	0	3	0	0	0	0	0	1	1	0	74	0	0	6
text	0	0	2	1	4	11	7	3	3	8	1	0	2	2	3	15	0	3	1	1	34	5	1
tmp	0	0	4	0	6	2	1	0	1	4	2	0	0	0	1	0	7	0	4	0	3	53	6
xml	0	0	0	0	1	0	0	0	0	19	2	0	0	0	0	0	0	0	0	1	0	0	78
