True	csv	doc	docx	dwf	gif	gz	hlp	html	kmz	log	pdf	png	ppt	pptx	rtf	sql	swf	tex	text	tmp	troff	txt	wp	xls	xml
csv	66	0	0	0	0	0	1	2	0	2	0	0	0	0	1	14	0	3	4	0	3	8	0	0	0
doc	1	17	4	0	0	1	0	2	1	0	0	1	4	2	1	0	4	0	0	0	0	2	1	59	0
docx	0	0	87	0	0	4	0	0	1	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0
dwf	0	0	0	85	4	8	0	0	2	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0
gif	0	1	3	1	79	0	0	0	0	0	1	0	3	4	0	0	4	0	1	0	0	0	5	0	0
gz	0	0	0	4	2	66	0	0	7	0	0	1	4	11	0	0	5	0	0	0	0	0	0	0	0
hlp	0	1	0	0	0	0	67	0	0	1	0	0	2	0	0	4	0	0	0	0	4	17	0	0	0
html	10	0	0	0	0	0	3	75	0	5	0	0	0	0	0	0	0	1	2	2	1	0	0	0	5
kmz	0	0	0	4	1	23	0	0	52	0	0	2	2	8	0	0	1	0	0	0	0	0	2	0	0
log	6	0	0	0	0	0	1	5	0	66	0	0	0	0	0	2	0	3	0	8	0	8	0	0	2
pdf	2	5	0	3	6	8	0	3	2	3	49	0	2	5	0	0	7	0	0	1	0	0	0	0	1
png	0	0	0	0	4	10	0	0	3	0	0	65	1	9	0	0	6	0	0	0	0	0	3	0	0
ppt	0	10	1	0	3	13	0	0	1	0	2	3	17	13	0	0	8	0	1	0	0	0	9	15	0
pptx	0	1	10	1	5	24	0	0	1	0	0	5	9	24	0	0	20	0	0	0	0	0	1	1	0
rtf	2	1	0	0	0	0	1	1	0	1	0	0	0	0	83	0	0	5	0	0	2	2	0	0	2
sql	4	0	1	0	0	0	0	7	0	9	0	0	0	0	0	58	0	5	0	6	1	10	0	0	1
swf	0	1	0	2	8	17	0	0	2	0	0	5	7	12	0	0	38	0	0	0	0	0	5	1	0
tex	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0	1	0	71	0	0	0	6	0	0	7
text	1	7	2	1	1	3	0	3	0	0	1	1	2	2	2	11	1	0	22	2	5	17	1	9	0
tmp	0	1	5	0	0	0	3	3	0	11	0	0	1	0	0	11	0	0	1	39	0	21	1	0	2
troff	6	0	0	0	0	0	0	11	0	2	0	0	0	0	0	7	0	0	3	4	61	12	0	0	0
txt	5	3	0	0	0	0	0	3	0	3	0	0	0	0	0	5	0	2	8	4	9	60	0	0	0
wp	1	3	1	0	0	0	1	0	4	0	0	5	1	2	0	0	1	0	2	0	1	4	71	0	0
xls	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	1	83	0
xml	0	0	0	0	0	0	0	15	0	12	0	0	0	0	0	0	0	1	0	2	0	0	0	0	74
