True	csv	dbase3	doc	dwf	eps	f	fits	html	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	rtf	sql	text	tmp	troff	txt	unk	wp	xls	xml
csv	65	0	0	0	2	3	0	5	0	1	0	3	0	0	0	0	0	0	3	2	3	1	1	0	0	0	0
dbase3	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	73	0	2	4	1	0	1	0	0	0	0	1	0	5	1	1	0	0	0	0	1	0	7	15	0
dwf	0	0	0	71	0	0	0	0	4	0	14	0	1	1	2	3	13	0	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	79	0	2	1	0	2	0	1	2	0	0	0	0	1	1	1	0	0	2	0	0	0	1
f	7	0	0	0	1	20	2	1	0	4	0	3	0	0	0	0	0	0	13	6	0	3	19	18	0	0	2
fits	0	0	0	1	0	2	73	0	3	0	0	0	5	0	0	3	2	0	0	7	0	1	4	9	0	0	0
html	4	0	0	0	6	0	0	62	0	5	0	3	1	0	0	0	0	0	3	0	0	1	0	7	0	0	11
jpg	0	0	0	2	1	0	0	0	61	0	3	0	2	0	3	6	8	0	0	0	0	0	0	3	5	2	0
kml	0	0	0	0	3	0	0	2	0	64	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	18
kmz	0	0	0	5	0	0	0	0	0	0	74	0	3	1	2	6	7	0	0	0	0	0	0	0	0	0	0
log	5	0	0	0	10	4	0	6	0	4	0	50	2	0	0	0	0	0	2	1	6	1	4	3	0	0	4
pdf	0	0	0	1	3	0	2	0	0	0	10	0	59	2	1	9	13	0	0	0	0	1	0	0	0	1	0
png	0	0	0	9	0	0	0	0	0	0	9	0	2	51	2	10	21	0	0	0	0	0	0	0	3	0	0
pps	0	0	15	0	0	0	0	0	2	0	8	0	5	3	6	14	25	0	1	1	0	0	0	1	3	10	0
ppt	0	0	15	1	0	0	2	0	2	0	8	0	2	3	6	17	32	0	0	0	0	0	0	1	3	9	1
pptx	0	0	2	2	0	0	0	0	2	0	16	0	3	1	5	15	51	1	0	0	2	0	0	0	1	0	0
rtf	0	0	0	0	4	0	1	3	0	0	0	0	0	0	0	0	0	86	0	0	0	0	1	2	0	0	0
sql	0	0	1	0	6	10	0	4	0	1	0	3	0	0	0	0	0	1	46	2	6	2	7	7	2	0	2
text	1	0	17	0	3	4	13	2	1	0	1	0	1	0	1	3	7	1	1	22	6	2	7	4	2	3	1
tmp	0	0	1	0	3	1	0	4	0	1	0	10	7	0	0	0	0	0	9	10	44	1	6	1	0	0	3
troff	0	0	0	0	4	13	1	1	0	0	0	1	0	0	0	0	0	0	14	2	0	53	8	5	0	0	0
txt	8	0	0	0	9	5	7	5	0	0	0	0	1	0	0	0	0	4	3	5	3	4	32	13	0	0	0
unk	6	0	1	2	4	13	5	2	0	0	0	2	0	0	0	2	0	1	2	1	0	1	15	36	0	2	1
wp	0	0	6	2	1	1	3	0	0	0	2	0	0	6	3	1	0	0	0	0	2	1	4	5	59	1	0
xls	0	0	31	1	0	0	0	0	1	0	0	0	0	0	1	6	2	0	0	0	0	0	0	0	1	56	0
xml	0	0	0	0	4	0	0	9	0	13	0	5	1	0	0	0	0	1	0	0	1	0	0	1	0	0	69
