True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	pdf	ppt	pptx	rtf	sql	swf	tex	text	tmp	txt	unk	xls
csv	72	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	2	5	0	0	0	2	5	4	0
dbase3	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	66	5	0	0	0	1	1	1	1	0	1	5	0	0	1	3	1	0	0	2	0	1	1	0	0	2
docx	0	0	0	86	2	0	0	0	0	5	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0
dwf	0	0	0	0	79	0	0	1	3	3	0	0	0	9	0	1	2	0	2	0	0	6	0	1	0	0	0	0
eps	3	0	0	0	0	76	1	0	0	1	0	2	0	0	0	0	1	0	0	2	2	0	0	0	3	7	0	0
f	11	0	0	0	0	0	18	5	0	0	2	1	7	0	1	0	0	0	0	0	14	0	1	1	3	26	11	0
fits	0	0	0	2	1	0	2	68	4	0	1	0	0	6	0	0	2	0	0	0	0	6	0	0	0	5	2	0
gif	0	0	1	0	2	0	0	1	68	1	0	0	0	4	0	2	2	2	2	0	0	8	0	1	0	0	0	0
gz	0	0	0	0	9	0	0	0	1	55	0	0	0	2	0	8	1	0	8	0	0	13	0	0	0	0	0	0
hlp	1	0	0	0	0	0	8	0	0	0	74	1	2	0	0	0	1	0	0	0	6	0	3	0	1	7	1	0
html	12	0	0	0	0	0	1	0	0	0	1	67	3	0	10	0	1	0	0	1	4	0	1	1	2	1	4	0
java	9	0	0	0	0	1	10	0	0	0	5	6	54	0	3	0	0	0	0	0	1	0	0	0	7	2	2	0
jpg	0	0	0	0	7	0	0	0	2	1	0	2	0	65	0	0	4	1	3	0	0	5	0	0	1	0	2	2
kml	2	0	0	0	0	1	0	0	2	0	0	2	10	0	77	0	0	0	0	0	0	0	0	0	3	4	0	0
kmz	0	0	0	0	14	0	0	0	2	16	0	0	0	0	0	62	0	1	3	0	0	1	0	0	0	0	0	0
pdf	0	0	0	0	4	0	0	0	4	5	0	1	0	1	0	6	60	0	6	2	0	6	0	1	6	0	0	0
ppt	0	0	33	1	5	0	0	1	2	9	0	0	0	2	0	3	3	9	13	0	0	14	0	1	1	0	0	1
pptx	0	0	0	6	11	0	0	1	6	28	0	0	0	5	0	3	4	2	18	0	0	25	0	0	0	0	0	0
rtf	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	89	0	0	6	0	0	1	0	1
sql	14	0	0	2	0	4	4	0	0	0	2	1	4	0	1	0	3	0	0	0	37	1	1	1	13	15	0	0
swf	0	0	2	0	17	0	0	1	2	9	0	0	0	4	0	3	4	0	12	0	0	41	0	0	0	0	1	0
tex	2	0	0	0	0	2	0	0	0	0	0	4	3	0	4	0	1	0	0	1	0	0	72	0	5	5	1	0
text	1	0	18	1	0	1	7	9	4	2	0	3	0	0	0	0	0	0	0	0	6	1	1	13	7	18	2	1
tmp	5	0	0	9	0	4	3	1	0	0	3	4	0	0	2	0	0	0	0	1	3	0	2	0	59	6	4	0
txt	9	0	0	0	0	2	10	15	0	0	7	1	1	0	2	0	0	0	0	3	7	0	1	3	1	36	3	0
unk	0	0	6	0	1	4	13	11	3	1	4	1	5	4	0	1	1	0	0	0	2	0	2	0	4	21	19	0
xls	0	0	61	1	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	1	30
