True	csv	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	tex	text	tmp	txt	unk	wp	xls	xml
csv	60	0	0	0	2	12	0	0	0	0	1	0	0	1	0	3	1	0	0	0	8	1	2	4	2	1	0	0	1
doc	1	17	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	4	1	0	4	0	0	1	2	56	0
docx	0	0	85	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	81	0	0	0	2	5	0	0	0	1	0	3	0	0	1	6	2	0	0	3	0	0	0	0	0	0
eps	1	0	0	0	63	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	28	0	1	0	4	1	0	0	0
f	7	0	0	0	0	26	1	0	0	2	3	4	0	1	0	6	0	0	0	0	6	2	6	2	16	17	1	0	1
fits	0	1	0	1	0	4	65	4	1	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0	3	9	4	0	0
gif	0	2	2	3	0	0	5	67	1	0	0	0	3	0	0	0	8	5	4	0	0	0	0	0	0	0	2	0	0
gz	0	0	1	1	0	0	0	0	56	0	0	0	0	0	18	0	2	0	13	5	0	0	0	0	0	0	1	0	0
hlp	0	0	0	0	0	9	2	0	0	62	0	2	0	0	0	0	0	0	0	0	1	2	2	2	4	14	0	0	0
html	3	0	0	0	4	2	0	0	0	1	54	0	0	4	0	1	1	0	0	0	6	1	0	2	2	2	0	0	17
java	1	0	0	0	1	3	0	0	0	0	0	68	0	0	0	11	0	0	0	0	1	0	0	2	0	10	0	0	3
jpg	0	0	0	3	0	0	0	4	5	0	0	0	69	0	0	0	2	0	6	9	0	0	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	0	0	0	1	5	0	80	0	2	0	0	0	0	1	2	0	0	3	0	0	0	7
kmz	0	0	0	11	0	0	0	1	12	0	0	0	0	0	60	0	0	5	8	3	0	0	0	0	0	0	3	0	0
log	3	2	0	0	0	4	0	0	0	0	0	2	0	5	0	43	1	0	0	0	18	4	0	9	4	3	0	0	2
pdf	0	0	0	7	2	0	3	0	12	0	0	0	1	0	5	0	49	0	6	2	9	0	1	1	0	1	0	0	0
png	0	0	2	9	0	0	0	1	11	0	0	0	2	0	3	0	2	51	9	4	0	0	0	0	0	0	7	0	0
pps	0	5	1	2	0	0	1	3	17	0	0	0	0	0	1	0	6	4	25	19	0	0	3	0	0	2	4	7	0
ppt	0	9	1	1	0	0	0	1	18	0	0	0	2	0	1	0	4	1	21	20	0	0	4	0	0	1	4	15	0
ps	1	0	0	0	8	1	1	0	0	0	0	3	0	2	2	3	3	0	0	0	66	0	2	0	3	0	0	0	0
tex	0	0	0	0	2	0	0	0	0	0	2	5	0	2	0	5	0	0	0	0	4	75	0	0	0	3	0	0	4
text	0	14	1	0	3	6	1	7	1	0	4	0	4	0	0	1	2	0	2	4	4	1	17	1	9	6	0	13	0
tmp	1	1	3	0	1	5	1	0	0	3	2	2	0	0	0	3	2	0	0	1	5	3	8	52	8	0	0	0	0
txt	6	1	0	0	2	13	7	0	0	2	2	7	0	0	0	4	0	0	0	0	2	2	16	1	24	11	0	0	0
unk	2	5	0	0	3	10	5	0	1	1	0	11	1	0	0	4	1	0	0	1	6	0	4	3	3	37	1	1	3
wp	0	3	0	1	0	3	1	2	0	0	0	0	2	0	1	1	0	2	0	5	1	1	4	0	6	4	59	0	0
xls	0	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	5	0	73	0
xml	2	0	0	0	2	1	0	0	0	0	9	2	0	13	0	1	0	0	0	0	4	1	0	1	0	0	0	0	67
