True	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	sql	tex	text	tmp	troff	txt	unk	wp	xml
dbase3	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	67	6	0	0	1	2	1	0	0	0	4	0	0	0	0	0	10	5	0	0	0	0	1	0	0	5	0	0	0
docx	0	0	77	0	0	0	0	1	8	0	0	0	0	2	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	83	0	0	1	1	4	0	0	1	0	5	0	3	0	1	1	2	0	0	0	2	0	0	0	0	0	0
eps	0	0	0	0	47	0	1	0	0	0	0	0	1	0	6	0	0	1	0	0	30	2	4	0	0	1	3	1	0	1
f	0	0	0	0	1	25	1	0	0	6	1	0	1	0	6	3	0	0	0	0	3	3	0	5	2	9	16	17	0	0
fits	0	0	0	0	0	1	51	2	0	0	0	0	0	0	0	3	1	1	2	0	2	0	0	10	0	0	10	7	3	0
gif	0	3	1	4	0	0	2	67	1	0	0	1	0	0	0	1	1	9	1	3	0	0	0	2	0	0	0	0	1	0
gz	0	0	0	2	0	0	0	0	57	0	0	0	0	9	0	5	0	17	5	9	0	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	13	0	0	0	61	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	2	8	6	1	0
html	0	0	0	0	1	1	1	0	0	1	57	0	6	0	3	2	0	0	0	0	4	0	1	0	2	0	1	9	0	10
jpg	0	0	0	4	0	0	0	4	5	0	0	57	0	1	0	1	3	14	1	3	0	0	0	0	0	0	0	0	6	0
kml	0	0	0	0	3	0	0	0	0	0	3	0	73	0	3	0	0	0	0	0	0	0	3	0	0	0	1	1	0	13
kmz	0	0	0	7	0	0	0	2	10	0	0	0	0	53	0	1	5	9	2	5	0	0	0	1	0	0	0	0	2	0
log	0	0	0	0	5	1	1	0	0	1	4	0	6	0	50	1	0	0	0	0	11	1	3	0	7	2	2	3	0	3
pdf	0	0	0	4	2	0	3	2	8	0	0	1	0	6	5	45	2	17	0	6	6	0	0	0	0	0	2	0	0	1
png	0	0	1	1	0	0	0	2	4	0	0	2	0	4	0	0	57	19	0	9	0	0	0	0	0	0	0	0	1	0
pps	0	16	0	3	0	0	0	1	20	0	0	0	0	3	0	0	8	41	1	10	0	0	0	2	0	0	0	0	2	0
ppt	0	16	0	1	0	0	1	2	8	0	0	0	0	3	0	1	3	39	2	15	0	0	0	2	0	0	0	1	2	0
pptx	0	0	13	3	0	0	1	6	14	0	0	2	0	3	0	0	2	30	6	17	0	0	0	0	0	0	0	0	0	0
ps	0	0	0	0	8	0	4	0	2	0	0	0	1	0	4	4	0	0	0	0	69	0	0	1	4	2	5	0	0	0
sql	0	0	2	0	0	6	0	0	0	3	2	0	1	0	1	0	0	0	0	0	3	32	5	8	6	2	13	12	2	0
tex	0	0	0	0	0	0	0	0	0	2	3	0	7	0	8	0	0	0	0	0	2	3	59	0	0	0	5	2	0	3
text	0	22	1	0	0	4	5	3	2	3	0	3	0	0	1	0	1	6	0	0	1	2	1	18	1	6	21	5	0	0
tmp	0	0	3	0	0	1	3	4	0	0	3	0	2	0	5	2	0	1	0	0	5	4	0	1	50	0	10	1	0	1
troff	0	0	0	0	5	5	0	0	0	6	0	0	0	0	1	1	0	0	0	0	15	0	0	1	2	54	11	3	0	0
txt	0	0	0	0	1	12	5	0	0	4	0	0	0	0	2	2	0	0	0	0	7	6	0	2	6	8	30	16	1	0
unk	0	6	0	1	0	13	4	1	0	2	0	2	1	0	3	2	0	2	0	0	5	5	2	4	2	2	9	33	2	0
wp	0	0	0	3	0	0	3	0	1	1	0	1	0	0	0	0	3	6	1	0	0	2	0	0	0	0	1	1	77	0
xml	0	0	0	0	0	0	0	0	0	0	6	0	13	0	8	2	0	0	0	0	0	1	2	0	1	0	0	0	0	65
