True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	hlp	html	java	jpg	kml	kmz	pdf	png	pps	ppt	pptx	ps	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	68	0	0	0	0	1	3	0	0	0	3	1	0	0	0	0	0	0	0	0	6	0	2	0	1	9	3	0	0	0	0
dbase3	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	79	0	0	0	0	0	0	0	4	1	2	0	0	0	0	7	2	0	1	3	0	0	0	0	3	0	0	6	0
docx	0	0	0	87	1	0	0	0	0	0	0	0	0	0	2	1	1	2	3	5	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	69	0	0	4	0	0	0	0	5	0	1	1	4	1	2	5	0	15	0	2	0	0	0	0	0	2	0
eps	0	0	0	0	0	63	0	1	0	0	0	1	0	0	0	2	0	1	0	0	21	0	0	2	1	0	6	1	0	0	2
f	10	0	0	0	0	0	26	1	0	0	2	4	0	0	0	0	0	0	0	0	1	0	0	2	6	12	19	13	0	0	1
fits	0	0	1	0	1	0	1	56	2	0	0	0	0	0	0	1	1	2	0	0	0	6	0	5	3	0	4	9	0	2	0
gif	0	0	0	3	3	0	0	5	78	0	0	0	0	0	1	3	2	0	1	1	0	2	0	3	2	0	0	0	0	0	0
hlp	0	0	0	0	0	0	18	0	0	49	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	20	8	0	0	0
html	6	0	0	0	0	0	2	0	0	0	73	0	0	1	0	0	0	0	0	0	3	0	1	0	3	6	4	2	0	0	1
java	2	0	0	0	0	0	6	0	0	3	1	61	0	0	0	0	0	0	0	0	9	0	1	0	2	1	5	7	0	0	0
jpg	0	0	1	0	3	0	0	0	4	0	2	0	62	0	1	3	3	4	1	0	0	9	0	0	0	0	0	5	0	3	0
kml	0	0	0	0	0	0	0	0	0	0	8	2	0	74	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	6
kmz	0	0	0	0	14	0	0	0	2	0	0	0	0	0	59	0	8	2	3	10	0	4	0	0	0	0	0	0	0	0	0
pdf	0	0	0	0	3	0	0	1	9	0	3	0	0	3	6	45	5	2	3	5	2	10	0	0	3	0	0	0	0	0	1
png	0	0	2	1	4	0	0	1	7	0	0	0	0	0	1	1	67	1	0	7	0	17	0	0	0	0	0	0	0	0	0
pps	0	0	18	0	2	0	0	0	3	0	0	0	1	0	8	6	6	9	9	7	0	21	0	0	0	0	0	0	0	6	0
ppt	0	0	21	0	1	0	0	2	6	0	0	0	0	0	5	2	2	9	14	12	0	13	0	1	0	0	0	0	0	6	0
pptx	0	0	2	13	3	0	0	0	9	0	0	0	1	0	4	2	3	5	6	18	0	28	0	0	0	0	0	0	0	2	0
ps	3	0	0	0	0	16	0	2	0	0	2	4	0	0	0	1	0	0	0	0	51	0	0	3	7	2	10	1	0	0	0
swf	0	0	0	0	5	0	0	0	6	0	0	0	0	0	5	3	11	3	6	16	1	40	0	1	0	0	1	0	2	0	0
tex	0	0	0	0	0	1	3	0	0	0	3	7	0	2	0	0	0	0	0	0	0	0	77	1	3	3	2	0	0	0	0
text	1	0	14	0	1	0	3	2	0	1	2	0	2	0	1	1	2	1	0	4	2	2	0	16	6	10	11	5	0	1	0
tmp	8	0	2	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	5	58	3	7	0	0	0	0
troff	7	0	0	0	0	0	4	1	2	2	4	2	0	0	0	1	0	0	0	0	2	0	0	2	6	56	3	2	0	0	0
txt	11	0	0	0	0	0	11	4	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	7	6	12	28	13	0	0	0
unk	1	0	1	1	4	5	14	1	0	2	3	8	0	0	0	1	1	2	0	0	1	0	2	2	2	3	12	36	0	2	0
wp	0	1	2	0	6	0	3	2	3	0	1	2	3	0	0	0	9	1	0	0	0	5	0	0	1	0	4	7	44	3	0
xls	0	0	31	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	54	0
xml	1	0	0	0	0	2	3	0	0	0	19	1	0	14	0	0	0	0	0	0	6	0	4	0	1	0	1	0	0	0	48
